pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La Corte Suprema está compuesta por:","21 ministros (art. 78 CPR)","15 ministros","25 ministros","9 ministros",0,"Art. 78 CPR: 21 ministros. 16 de carrera + 5 abogados externos.",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,1
"La CS funciona habitualmente en:","Salas especializadas (4 salas de 5 ministros)","Pleno siempre","Una sala única","Dos salas de 10",0,"Arts. 95-99 COT: salas es lo ordinario. El pleno se reserva para art. 96.",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"El quórum de la CS en pleno es de:","11 ministros como mínimo","21 ministros (todos)","15 ministros","7 ministros",0,"Art. 95 COT: mayoría absoluta de 21 = 11 como mínimo para sesionar en pleno.",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"La casación forma y fondo las conoce la CS en:","Sala (art. 98 COT)","Pleno","Tribunal unipersonal","Sala de verano",0,"Art. 98 COT: casación = materia de sala. Pleno = desafueros, amovilidad, disciplina.",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"El Presidente de la CS dura:","2 años sin reelección (art. 93 COT)","1 año con reelección","4 años","Indefinidamente",0,"Art. 93 COT: 2 años, no reelegible. Rotación entre ministros.",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"En Chile existen:","17 Cortes de Apelaciones","12 CA","20 CA","Una sola CA",0,"Art. 54 COT: 17 CA distribuidas en el territorio nacional.",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,1
"El recurso de protección lo conoce en 1ª instancia:","La Corte de Apelaciones respectiva (art. 20 CPR)","El Juzgado de Letras","La Corte Suprema","El Tribunal Constitucional",0,"Art. 20 CPR: CA en 1ª instancia. CS conoce la apelación.",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,1
"El recurso de amparo se interpone ante:","La CA respectiva (art. 21 CPR)","El Juzgado de Garantía","La CS directamente","El Ministerio Público",0,"Art. 21 CPR: CA en 1ª instancia. Protege libertad personal.",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,1
"Las salas de CA funcionan con mínimo:","3 ministros (art. 67 COT)","5 ministros","2 ministros","4 ministros",0,"Art. 67 COT: 3 miembros como quórum mínimo de sala.",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"Los Juzgados de Letras son tribunales:","Unipersonales de primera instancia","Colegiados de segunda instancia","Unipersonales de segunda instancia","Colegiados de primera instancia",0,"Arts. 27-45 COT: un solo juez, primera instancia, competencia civil general.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Letras,1
"Los abogados integrantes son:","Abogados externos que completan quórum de salas de Cortes (arts. 215-219 COT)","Jueces de primera instancia","Fiscales del Ministerio Público","Defensores penales",0,"Arts. 215-219 COT: no son jueces de carrera. Designados anualmente.",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"Los tribunales unipersonales de excepción conocen causas:","Con fuero: Presidente, ministros de Estado, diplomáticos (arts. 50-53 COT)","De menor cuantía","Voluntarias solamente","Penales exclusivamente",0,"Arts. 50-53 COT: el fuero eleva la competencia a un ministro de Corte.",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales unipersonales de excepción,2
