pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La sentencia definitiva según el art. 158 CPC es:","La que pone fin a la instancia, resolviendo la cuestión o asunto objeto del juicio","Cualquier resolución que dicte el tribunal","La que resuelve un incidente del juicio","La que ordena un trámite de substanciación",0,"Art. 158 inc. 2 CPC: la definitiva pone FIN a la instancia resolviendo el fondo del asunto. Las demás resoluciones tienen otros efectos.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Una sentencia interlocutoria de primer grado es la que:","Falla un incidente estableciendo derechos permanentes a favor de las partes","Resuelve un trámite que sirve de base para la sentencia","Solo ordena la substanciación del proceso","Pone fin a la instancia",0,"Art. 158 inc. 3 CPC: interlocutoria de 1er grado = falla incidente + derechos permanentes. De 2° grado = resuelve trámite base para sentencia posterior.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Un decreto o providencia tiene por objeto:","Determinar o arreglar la substanciación del proceso, sin resolver incidentes ni trámites de base","Resolver incidentes con derechos permanentes","Poner fin a la instancia","Resolver recursos de apelación",0,"Art. 158 inc. final CPC: el decreto solo ordena trámites de procedimiento. Ej: 'traslado', 'téngase presente', 'como se pide con citación'.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"El desasimiento del tribunal se produce cuando:","Una sentencia definitiva o interlocutoria es notificada a alguna de las partes (art. 182 CPC)","Se dicta cualquier resolución judicial","Se interpone un recurso de apelación","Se cierra el período de prueba",0,"Art. 182 CPC: notificada la sentencia definitiva o interlocutoria a alguna de las partes, el tribunal no puede alterarla ni modificarla.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Los autos y decretos producen desasimiento del tribunal:","No, solo las sentencias definitivas e interlocutorias producen desasimiento","Sí, todas las resoluciones producen desasimiento","Solo los autos, no los decretos","Solo si han sido apelados",0,"Art. 182 CPC: el desasimiento opera solo respecto de sentencias definitivas e interlocutorias. Los autos y decretos pueden modificarse por reposición.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Las excepciones al desasimiento del tribunal son:","Aclaración de puntos oscuros, rectificación de errores de copia/cálculo, y complementación de puntos omitidos","Revocación total de la sentencia","Modificación del fondo de la decisión","Recurso de apelación ante el mismo tribunal",0,"Art. 182 inc. 2 CPC: el tribunal puede aclarar, rectificar y complementar de oficio o a petición de parte. No altera el fondo de la decisión.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"La cosa juzgada tiene dos manifestaciones:","Acción de cosa juzgada (ejecutar lo resuelto) y excepción de cosa juzgada (impedir nuevo juicio)","Solo la excepción de cosa juzgada","Solo la acción de cosa juzgada","Recurso de cosa juzgada y acción de nulidad",0,"Arts. 175-177 CPC: la acción permite cumplir forzadamente; la excepción impide re-litigar. Son dos caras de un mismo efecto.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"La acción de cosa juzgada corresponde a:","La parte que obtuvo sentencia favorable en el juicio anterior (art. 176 CPC)","Cualquiera de las partes","Solo al demandante original","Solo al demandado que ganó",0,"Art. 176 CPC: solo quien obtuvo a su favor en el juicio (ganó) puede pedir la ejecución forzada de la sentencia.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"La excepción de cosa juzgada puede ser alegada por:","Cualquiera de las partes, haya ganado o perdido (art. 177 CPC)","Solo la parte que ganó el juicio anterior","Solo el demandado","Solo el demandante",0,"Art. 177 CPC: a diferencia de la acción, la excepción puede alegarla cualquiera de las partes. Protege a ambos de un nuevo juicio.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"La triple identidad del art. 177 CPC requiere:","Identidad legal de personas, identidad de cosa pedida e identidad de causa de pedir","Solo identidad de personas","Identidad de personas y de objeto, sin importar la causa","Triple identidad de testigos",0,"Art. 177 CPC: las tres identidades deben concurrir copulativamente. Si falta una, no hay cosa juzgada.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Si demandé por resolución de contrato fundado en dolo y perdí, ¿puedo demandar la resolución por error?","Sí, porque la causa de pedir es distinta (dolo vs. error): no hay triple identidad","No, porque se trata del mismo contrato","No, porque ya se resolvió la resolución del contrato","Solo si el juez lo autoriza",0,"Art. 177 CPC: falta la identidad de causa de pedir. Dolo y error son fundamentos distintos del mismo derecho. Puede deducirse nueva demanda.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,3
"La sentencia definitiva debe contener según el art. 170 CPC:","Parte expositiva (resumen), parte considerativa (razonamiento) y parte resolutiva (decisión)","Solo la parte resolutiva","Solo los considerandos de derecho","La firma del juez sin más requisitos",0,"Art. 170 CPC + Auto Acordado CS 1920: tres partes obligatorias. Su omisión puede fundar un recurso de casación en la forma.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Una resolución judicial está firme o ejecutoriada cuando:","No puede ser modificada por recurso alguno (art. 174 CPC): tres hipótesis según si procede o no recurso","Se dicta por el tribunal","Se notifica al demandante","Se inscribe en un registro público",0,"Art. 174 CPC: firme = 1) no procede recurso → desde notificación, 2) procede pero no se interpone → al vencer plazo, 3) se interpuso → desde el cúmplase.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Una sentencia que causa ejecutoria es:","La que puede cumplirse pese a existir recursos pendientes, porque fueron concedidos en el solo efecto devolutivo","La que ha quedado firme sin recurso pendiente","La que fue revocada por el tribunal superior","La que resuelve un incidente",0,"Causa ejecutoria = cumplimiento provisional. El recurso pendiente no suspende la ejecución porque fue concedido sin efecto suspensivo.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Contra un decreto procede como recurso:","Reposición ante el mismo tribunal (art. 181 CPC)","Apelación ante el tribunal superior como regla general","Casación en la forma","Recurso de queja",0,"Art. 181 CPC: los decretos se impugnan por reposición (reconsideración por el mismo tribunal). Excepcionalmente procede apelación subsidiaria.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"La cosa juzgada formal a diferencia de la material:","Impide impugnar la resolución en el mismo proceso, pero permite revisarla en un juicio posterior","Impide toda revisión en cualquier proceso","Solo opera en juicios ejecutivos","Es sinónimo de sentencia firme",0,"Formal = inimpugnabilidad dentro del proceso. Material = inmutabilidad absoluta (no puede discutirse en ningún juicio). La material es la verdadera cosa juzgada.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,3
