termino,definicion,rama,libro,titulo,materia,dificultad
"Compraventa","Contrato en que una parte se obliga a dar una cosa y la otra a pagarla en dinero. Es bilateral, oneroso, conmutativo, principal, consensual en muebles y solemne en inmuebles (art. 1793 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"Precio","El dinero que el comprador da por la cosa vendida. Debe ser en dinero, real, serio y determinado o determinable (art. 1793 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"Evicción","Privación total o parcial que sufre el comprador de la cosa comprada, por sentencia judicial, por causa anterior a la venta. Genera la obligación de saneamiento del vendedor (art. 1838 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Vicios redhibitorios","Vicios ocultos de la cosa vendida que: existían al tiempo de la venta, son graves y no fueron conocidos ni eran fácilmente detectables por el comprador (art. 1858 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Acción redhibitoria","Acción del comprador para rescindir la venta por vicios ocultos graves. Prescribe en 6 meses (muebles) o 1 año (inmuebles). Arts. 1857-1866 CC.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Acción quanti minoris","Acción estimatoria del comprador para obtener rebaja proporcional del precio por vicios redhibitorios. Prescribe en 1 año (muebles) o 18 meses (inmuebles). Art. 1860 CC.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Lesión enorme","Perjuicio patrimonial por desproporción grave entre prestaciones en la compraventa de inmuebles. El vendedor la sufre si el precio es inferior a la mitad del justo precio; el comprador si el justo precio es inferior a la mitad de lo pagado (art. 1889 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Arras","Cosa que se da en prenda de la celebración del contrato. De retractación: permiten arrepentirse perdiéndolas. En señal de garantía: parte del precio (arts. 1803-1805 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Pacto comisorio","La condición resolutoria tácita expresada en el contrato de compraventa. Simple: reproduce la CRT. Calificado: estipula resolución ipso facto, pero el comprador tiene 24 horas para enervar (art. 1877 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,3
"Pacto de retroventa","Facultad del vendedor de recobrar la cosa vendida reembolsando precio y gastos. Plazo máximo: 4 años desde la fecha del contrato (art. 1881 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Tradición de inmuebles","Inscripción del título traslaticio en el Conservador de Bienes Raíces. Es el modo de adquirir dominio sobre inmuebles vendidos. No confundir con la escritura pública (solemnidad del contrato). Art. 686 CC.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"Venta de cosa ajena","Compraventa válida según el art. 1815 CC. El comprador no adquiere dominio (nemo plus iuris) pero el contrato no es nulo. El verdadero dueño puede reivindicar.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
