pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"El plazo para la réplica en el juicio ordinario es de:","6 días hábiles desde la notificación de la contestación (art. 311 CPC)","15 días hábiles","3 días hábiles","10 días hábiles",0,"Art. 311 CPC: 6 días para la réplica. Mismo plazo para la dúplica (art. 312). Son plazos legales, fatales e individuales.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_IX,De la réplica y la dúplica,1
"La conciliación obligatoria del art. 262 CPC es:","Un trámite esencial en todo juicio civil en que sea admisible la transacción","Un trámite voluntario que depende de las partes","Solo obligatoria en juicios ejecutivos","Solo obligatoria en juicios de familia",0,"Art. 262 + 795 Nº 2 CPC: es trámite esencial de primera instancia. Su omisión es causal de casación en la forma.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_II,De la conciliación,1
"Las opiniones del juez durante la audiencia de conciliación:","No lo inhabilitan para seguir conociendo del juicio (art. 263 CPC)","Lo inhabilitan de pleno derecho","Obligan a las partes a aceptar su propuesta","Deben constar en acta secreta",0,"Art. 263 CPC: garantía de que el juez puede proponer bases de arreglo libremente sin perder su imparcialidad para resolver el fondo.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_II,De la conciliación,2
"Si se logra conciliación total, el acta se estima como:","Sentencia ejecutoriada para todos los efectos legales (art. 267 CPC)","Acuerdo privado sin valor judicial","Sentencia de primera instancia apelable","Medida provisional sujeta a confirmación",0,"Art. 267 CPC: el acta de conciliación es equivalente jurisdiccional. Produce cosa juzgada y es ejecutable como sentencia firme.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_II,De la conciliación,2
"El auto de prueba es la resolución que:","Recibe la causa a prueba, fijando los hechos sustanciales, pertinentes y controvertidos (art. 318 CPC)","Dicta sentencia definitiva","Cita a las partes a conciliación","Declara la rebeldía del demandado",0,"Art. 318 CPC: el auto de prueba delimita la prueba. Los hechos fijados se llaman 'puntos de prueba'.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,1
"El auto de prueba se notifica por:","Cédula (art. 48 CPC)","Estado diario","Personalmente","Avisos",0,"Art. 48 CPC: la resolución que recibe la causa a prueba es una de las que expresamente se notifican por cédula.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,1
"El recurso que procede contra el auto de prueba es:","Reposición con apelación subsidiaria, dentro de 3° día (art. 319 CPC)","Solo apelación dentro de 10 días","Solo casación en la forma","No procede recurso alguno",0,"Art. 319 CPC: reposición (pedir al mismo tribunal que modifique los puntos de prueba) + apelación subsidiaria (si la reposición falla). Plazo: 3 días.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"El término probatorio ordinario dura:","20 días hábiles (art. 328 CPC)","15 días hábiles","30 días hábiles","10 días hábiles",0,"Art. 328 CPC: 20 días. Puede reducirse por acuerdo de partes, pero no ampliarse (improrrogable).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,1
"El término probatorio ordinario es un plazo:","Legal, fatal, común e improrrogable","Judicial, no fatal e individual","Convencional y prorrogable","Legal, individual y prorrogable",0,"Cuatro características: legal (lo fija la ley), fatal (vence automáticamente), común (corre desde la última notificación), improrrogable (no se extiende).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,2
"La lista de testigos debe presentarse dentro de:","Los 5 primeros días del término probatorio (art. 320 CPC)","Los 10 primeros días","El último día del término","Antes de la demanda",0,"Art. 320 CPC: 5 días fatales. Sin lista de testigos, no puede rendirse prueba testimonial.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la recepción de la causa a prueba,1
