pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Según el art. 98 CC, los esponsales:","No producen obligación alguna ante la ley civil","Generan obligación de indemnizar al contrayente que cumple","Son un contrato preparatorio que obliga a celebrar matrimonio","Producen obligación natural de cumplir la promesa",0,"Art. 98 CC es categórico: los esponsales son un hecho privado sometido al honor y conciencia del individuo. No produce obligación civil, ni da lugar a demanda de perjuicios ni multa.",DERECHO_CIVIL,LIBRO_I,TITULO_III,De los esponsales,1
"El matrimonio según el art. 102 CC es:","Un contrato solemne por el cual un hombre y una mujer se unen actual e indisolublemente y por toda la vida","Un acuerdo consensual entre dos personas que genera comunidad de vida","Una institución social regulada exclusivamente por la Ley 19.947","Un contrato bilateral conmutativo regulado por las normas generales de los contratos",0,"Art. 102 CC: contrato solemne, entre hombre y mujer, unión actual e indisoluble, por toda la vida, con los fines de vivir juntos, procrear y auxiliarse mutuamente.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"¿Cuál de los siguientes NO es un impedimento dirimente absoluto según la Ley 19.947?","Parentesco por consanguinidad entre los contrayentes","Vínculo matrimonial no disuelto","Ser menor de 16 años","Privación del uso de razón",0,"El parentesco por consanguinidad es un impedimento dirimente RELATIVO (art. 6 Ley 19.947), no absoluto. Los dirimentes absolutos (art. 5) impiden casarse con cualquier persona.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"La edad mínima para contraer matrimonio en Chile es:","16 años","14 años","18 años","12 años para la mujer y 14 para el varón",0,"Art. 5 Nº 2 Ley 19.947: no pueden contraer matrimonio los menores de 16 años. Es un impedimento dirimente absoluto cuya infracción acarrea nulidad.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"En materia matrimonial, los vicios del consentimiento son:","Error (en identidad o cualidades personales) y fuerza","Error, fuerza y dolo","Error, fuerza y lesión","Solo el error en la identidad de la persona",0,"Art. 8 Ley 19.947: solo error y fuerza. El dolo NO es vicio del consentimiento matrimonial, a diferencia de los contratos patrimoniales.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"El matrimonio celebrado ante un ministro de culto produce efectos civiles:","Solo si se inscribe en el Registro Civil dentro de 8 días","Automáticamente desde la celebración religiosa","Solo si ambos cónyuges lo solicitan ante el juez de familia","Nunca, porque solo el matrimonio civil produce efectos",0,"Art. 20 Ley 19.947: el matrimonio religioso produce efectos civiles siempre que se inscriba en el Registro Civil dentro de 8 días. Sin inscripción oportuna, no produce efecto civil alguno.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"Si un menor de 18 años contrae matrimonio sin el consentimiento de sus padres, el matrimonio es:","Válido, pero el menor puede ser desheredado y pierde la mitad de sus derechos hereditarios intestados","Nulo de nulidad absoluta","Anulable a petición de los padres dentro de un año","Inoponible a los padres que no consintieron",0,"Arts. 105 y 114 CC: la falta de consentimiento de los ascendientes NO es causal de nulidad. La sanción es patrimonial: el menor puede ser desheredado y pierde la mitad de los derechos hereditarios intestados.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"Si no se ha pactado régimen matrimonial, se aplica:","La sociedad conyugal como régimen legal supletorio","La separación total de bienes","La participación en los gananciales","No hay régimen matrimonial hasta que los cónyuges elijan",0,"Art. 135 CC: a falta de pacto, el régimen legal supletorio es la sociedad conyugal. Los cónyuges pueden sustituirlo por separación de bienes o participación en los gananciales.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"El matrimonio putativo requiere:","Matrimonio nulo celebrado ante Oficial del Registro Civil, con buena fe y justa causa de error de al menos un cónyuge","Cualquier matrimonio nulo, sin importar las circunstancias","Matrimonio nulo por impedimento dirimente, declarado por sentencia judicial","Matrimonio celebrado con dolo de uno de los contrayentes",0,"Art. 51 Ley 19.947: cuatro requisitos copulativos: 1) matrimonio nulo, 2) celebrado o ratificado ante Oficial del RC, 3) buena fe, 4) justa causa de error.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"La acción de nulidad de matrimonio, como regla general:","No prescribe durante la vida de los cónyuges","Prescribe en 4 años desde la celebración","Prescribe en 10 años desde la celebración","Caduca al año de conocida la causal de nulidad",0,"Art. 48 Ley 19.947: regla general de imprescriptibilidad durante la vida de los cónyuges. Excepciones: nulidad por fuerza (3 años desde que cesa) y por menor de 16 años (al cumplir mayoría de edad).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
