pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"El principio de inexcusabilidad significa que el tribunal:","No puede excusarse de ejercer su autoridad, ni aun por falta de ley que resuelva (art. 76 CPR + art. 10 COT)","Puede excusarse si no hay ley aplicable","Solo debe fallar si ambas partes lo solicitan","Puede derivar la causa a otro tribunal",0,"Art. 76 inc. 2 CPR + art. 10 COT: obligación absoluta de fallar. Sin ley, recurre a la equidad (art. 170 Nº 5 CPC).",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,1
"La facultad de imperio permite a los tribunales:","Impartir órdenes directas a la fuerza pública para hacer ejecutar sus resoluciones (art. 76 inc. 3 CPR)","Crear nuevas leyes","Modificar sentencias de tribunales superiores","Interferir en asuntos del Poder Ejecutivo",0,"Art. 76 inc. 3 CPR: los tribunales pueden disponer medidas de ejecución forzada, incluyendo el auxilio de la fuerza pública.",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,1
"El principio de inamovilidad de los jueces implica que:","Permanecen en sus cargos mientras dure su buen comportamiento (art. 80 CPR)","Permanecen indefinidamente sin control","No pueden ser trasladados jamás","Tienen cargo vitalicio sin excepción",0,"Art. 80 CPR: inamovilidad condicionada al buen comportamiento. Cesan a los 75 años, por remoción o por renuncia.",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,1
"Los jueces cesan en sus funciones al cumplir:","75 años de edad (art. 80 CPR)","65 años","70 años","80 años",0,"Art. 80 inc. 2 CPR: límite de 75 años. Es una excepción a la inamovilidad. No aplica al Presidente de la CS en ejercicio.",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,1
"El principio de territorialidad del art. 7 COT establece que:","Los tribunales solo ejercen jurisdicción dentro del territorio que la ley les asigna","Los tribunales pueden conocer causas de cualquier lugar del país","Solo los tribunales de Santiago tienen jurisdicción nacional","La territorialidad solo aplica a los juzgados de letras",0,"Art. 7 COT: cada tribunal tiene un territorio asignado. Fuera de él, carece de competencia. La CS es excepción (jurisdicción nacional).",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,1
"El principio de pasividad del art. 10 COT significa que:","Los tribunales actúan a requerimiento de parte como regla general, no de oficio","Los tribunales nunca pueden actuar de oficio","Los tribunales solo conocen causas penales","Los tribunales están inactivos hasta que se les ordene",0,"Art. 10 inc. 1 COT: regla general = a petición de parte. Excepciones: medidas para mejor resolver, nulidad absoluta, casación de oficio.",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,1
"El principio de inavocabilidad (art. 8 COT) prohíbe que:","Un tribunal se avoque (atraiga) causas pendientes ante otro tribunal","Los jueces conozcan de causas en que tienen interés","Las partes cambien de tribunal durante el juicio","Se dicten sentencias sin fundamentación",0,"Art. 8 COT: protege la competencia. Ningún tribunal puede tomar para sí causas de otro. Excepción: cuando la ley lo autoriza expresamente.",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,2
"Los ministros de la Corte Suprema se nombran mediante:","Quina de la CS → elección del Presidente → aprobación del Senado con 2/3 (art. 78 CPR)","Designación directa del Presidente","Elección popular","Concurso público ante el Consejo de la Magistratura",0,"Art. 78 CPR: sistema de generación mixta. La CS propone 5, el Presidente elige 1, el Senado aprueba con supermayoría.",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,2
"La Corte Suprema tiene superintendencia:","Directiva, correccional y económica sobre todos los tribunales de la Nación (art. 82 CPR)","Solo correccional","Solo sobre las Cortes de Apelaciones","Solo en materia penal",0,"Art. 82 CPR: tres dimensiones. Directiva = organizar. Correccional = disciplinar. Económica = dictar Auto Acordados.",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,2
"El principio del juez natural (art. 19 Nº 3 inc. 5 CPR) prohíbe:","Ser juzgado por comisiones especiales; solo el tribunal que señale la ley puede juzgar","Que los jueces fallen en equidad","Que se creen nuevos tribunales por ley","Que los árbitros conozcan de causas",0,"Art. 19 Nº 3 inc. 5 CPR: garantía constitucional. El tribunal debe estar establecido por ley ANTES del hecho. Prohíbe tribunales ad hoc.",DERECHO_ORGANICO,COT,TITULO_I,De las bases de la organización judicial,1
