termino,definicion,rama,libro,titulo,materia,dificultad
"Partición de bienes","Conjunto de actos destinados a poner fin al estado de indivisión hereditaria, distribuyendo los bienes comunes entre los comuneros. Es imprescriptible (art. 1317 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,1
"Juez partidor","Árbitro de derecho que conoce del juicio de partición. Puede ser designado por el testador, los coasignatarios de común acuerdo o el juez ordinario (arts. 1323-1324 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"Adjudicación","Acto por el cual se entrega a cada comunero los bienes que le corresponden en pago de su cuota. Tiene efecto declarativo retroactivo al momento de la muerte del causante (art. 1344 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"Pacto de indivisión","Acuerdo entre coasignatarios para mantener la comunidad. Máximo 5 años, renovable (art. 1317 inc. 2 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"Deudas hereditarias","Las que el causante tenía en vida y se transmiten a los herederos, quienes responden a prorrata de sus cuotas (art. 1354 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,1
"Deudas testamentarias","Las que nacen del testamento: legados, modos y cargas testamentarias. Se pagan con cargo a los bienes hereditarios después de las deudas hereditarias.",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,2
"Beneficio de separación","Derecho de los acreedores hereditarios para pedir que los bienes de la herencia no se confundan con los del heredero, cobrando con preferencia sobre ellos (art. 1378 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,3
"Donación entre vivos","Acto por el cual una persona transfiere gratuitamente e irrevocablemente una parte de sus bienes a otra que la acepta. Es un contrato gratuito (art. 1386 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,1
"Insinuación","Autorización judicial necesaria para donaciones que excedan cierto monto. Sin insinuación, la donación es nula en el exceso (art. 1401 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"Donación revocable","La que el donante puede revocar mientras viva. Se confirma por su muerte. Se rige por reglas de asignaciones testamentarias. Las donaciones entre cónyuges son siempre revocables (arts. 1136-1137 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"Revocación por ingratitud","Excepción a la irrevocabilidad de las donaciones entre vivos. Procede cuando el donatario comete injuria atroz contra el donante (art. 1428 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"Lesión enorme en la partición","Vicio que permite rescindir la partición cuando un coasignatario es perjudicado en más de la mitad de su cuota (art. 1348 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,3
