termino,definicion,rama,libro,titulo,materia,dificultad
"Recurso de reposición","Recurso ante el mismo tribunal para que modifique o deje sin efecto autos y decretos. Plazo: 5 días (ordinaria) o 3 días con nuevos antecedentes (extraordinaria). Art. 181 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XVII,De la reposición,1
"Recurso de apelación","Recurso ordinario ante el tribunal superior para que enmiende la resolución del inferior. Procede contra definitivas (10 días) e interlocutorias (5 días). Art. 186 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XVIII,De la apelación,1
"Efecto devolutivo","Efecto esencial de la apelación que otorga competencia al tribunal superior. Sin él no hay apelación. Toda apelación lo tiene.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XVIII,De la apelación,2
"Efecto suspensivo","Efecto accidental de la apelación que suspende la competencia del tribunal inferior y la ejecución de la resolución. Regla general para definitivas (art. 195). No siempre concurre.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XVIII,De la apelación,2
"Casación en la forma","Recurso extraordinario para invalidar sentencias dictadas con vicios de procedimiento o forma (art. 764 CPC). 9 causales del art. 768. Plazo: 15 días. Requiere preparación (art. 769).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XIX,De la casación en la forma,1
"Casación en el fondo","Recurso extraordinario ante la Corte Suprema para invalidar sentencias con infracción de ley que influye sustancialmente en lo dispositivo (art. 767 CPC). La CS dicta sentencia de reemplazo (art. 785). No revisa hechos.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XIX,De la casación en el fondo,1
"Ultrapetita","Causal de casación en la forma (art. 768 Nº 4): la sentencia otorga más de lo pedido o se extiende a puntos no sometidos al fallo. Infringe el principio de congruencia.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XIX,De la casación en la forma,2
"Recurso de queja","Recurso disciplinario ante el superior jerárquico por falta o abuso del juez al dictar resolución. Solo procede contra resoluciones no susceptibles de recurso alguno (art. 545 COT). Subsidiario.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XIX,Del recurso de queja,2
"Recurso de revisión","Recurso excepcional ante la CS para invalidar sentencias firmes por vicios gravísimos: documentos falsos, prevaricación, cohecho, testigos falsos (art. 810 CPC). Plazo: 1 año desde la última causal.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XX,De la revisión,2
"Adhesión a la apelación","Derecho del apelado de pedir reforma de la sentencia en la parte que le es desfavorable, aprovechando la apelación de la contraria (art. 216 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XVIII,De la apelación,2
"Preparación del recurso","Requisito de la casación en la forma: haber reclamado oportunamente del vicio durante el juicio (art. 769 CPC). Sin preparación, el recurso es inadmisible. Excepciones: incompetencia absoluta y ultrapetita.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XIX,De la casación en la forma,3
"Orden de no innovar","Solicitud al tribunal de alzada para que ordene al inferior no ejecutar la resolución apelada en el solo efecto devolutivo. Suspende provisionalmente la ejecución mientras se resuelve la apelación.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XVIII,De la apelación,2
