termino,definicion,rama,libro,titulo,materia,dificultad
"Obligación","Vínculo jurídico entre acreedor y deudor en virtud del cual el deudor se encuentra en la necesidad de dar, hacer o no hacer algo a favor del acreedor. Tiene sujetos, objeto, vínculo y causa.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"Contrato","Acto por el cual una parte se obliga para con otra a dar, hacer o no hacer alguna cosa (art. 1438 CC). Puede ser unilateral o bilateral, gratuito u oneroso, consensual, real o solemne.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"Contrato bilateral","El que genera obligaciones recíprocas para ambas partes (art. 1439 CC). Ej: compraventa (vendedor entrega cosa / comprador paga precio).",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"Obligación natural","La que no confiere derecho a exigir su cumplimiento, pero cumplida voluntariamente, autoriza a retener lo pagado. No da acción pero sí excepción (art. 1470 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_III,De las obligaciones civiles y de las meramente naturales,2
"Condición suspensiva","Hecho futuro e incierto del cual depende el NACIMIENTO de un derecho. Mientras pende, el derecho no nace; si se cumple, nace retroactivamente.",DERECHO_CIVIL,LIBRO_IV,TITULO_IV,De las obligaciones condicionales,1
"Condición resolutoria tácita","Condición que va envuelta en todo contrato bilateral: si una parte no cumple, la otra puede pedir resolución o cumplimiento con indemnización (art. 1489 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_IV,De las obligaciones condicionales,1
"Plazo","Hecho futuro y cierto del cual depende el ejercicio o la extinción de un derecho. Se sabe que ocurrirá, a diferencia de la condición (art. 1494 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_V,De las obligaciones a plazo,1
"Solidaridad pasiva","Modalidad en que cada codeudor está obligado al total de la deuda. El acreedor puede exigir el pago íntegro a cualquiera de ellos (art. 1511 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_IX,De las obligaciones solidarias,1
"Obligación alternativa","La que tiene por objeto dos o más cosas, de manera que el pago de una exonera del pago de las demás. La elección es del deudor salvo pacto (art. 1499 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_VI,De las obligaciones alternativas,2
"Obligación facultativa","La que tiene por objeto una cosa determinada pero concede al deudor la facultad de pagar con otra. Se debe la principal; la subsidiaria es opción de pago (art. 1505 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_VII,De las obligaciones facultativas,2
"Cláusula penal","Estipulación por la cual una persona se sujeta a una pena (dar o hacer algo) en caso de no ejecutar o retardar la obligación principal. Avalúa anticipadamente los perjuicios (art. 1535 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XI,De las obligaciones con cláusula penal,2
"Obligación indivisible","La que tiene por objeto una cosa o hecho no susceptible de división. Cada deudor debe el total porque la prestación no puede fraccionarse (art. 1524 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_X,De las obligaciones divisibles e indivisibles,2
