pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Un incidente procesal es:","Toda cuestión accesoria de un juicio que requiere pronunciamiento especial del tribunal (art. 82 CPC)","La cuestión principal del juicio","Un recurso contra sentencia definitiva","Un medio de prueba",0,"Art. 82 CPC: los incidentes son cuestiones ACCESORIAS, no principales. Ej: nulidad de notificación, privilegio de pobreza, abandono.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IX,De los incidentes,1
"El plazo para contestar el traslado de un incidente ordinario es:","3 días (art. 89 CPC)","15 días","10 días","5 días",0,"Art. 89 CPC: traslado por 3 días. Es más breve que los plazos del juicio principal para no retardar la causa.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IX,De los incidentes,1
"El término probatorio de un incidente es de:","8 días (art. 90 CPC)","20 días como en el juicio ordinario","3 días como el traslado","15 días",0,"Art. 90 CPC: 8 días. Dentro de los 2 primeros debe acompañarse lista de testigos. Es un tercio del probatorio ordinario (20 días).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IX,De los incidentes,2
"Los incidentes de previo y especial pronunciamiento:","Suspenden la tramitación de la causa principal hasta ser resueltos","Se tramitan en cuaderno separado sin suspender","No tienen efecto sobre la causa principal","Solo suspenden si ambas partes lo acuerdan",0,"Art. 87 CPC: los de previo y especial pronunciamiento paralizan la causa principal. Los demás se tramitan en cuaderno separado.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IX,De los incidentes,2
"El principio 'no hay nulidad sin perjuicio' en materia procesal significa:","No basta probar el vicio: debe acreditarse que causó un perjuicio reparable solo con la nulidad","Toda nulidad causa automáticamente perjuicio","El perjuicio se presume de la existencia del vicio","Solo hay perjuicio si hay mala fe",0,"Art. 83 CPC y doctrina: principio de trascendencia. La nulidad es un medio, no un fin: solo se declara si el vicio causó perjuicio real.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IX,De los incidentes,2
"El plazo para promover un incidente de nulidad procesal es:","5 días desde que aparezca o se acredite el vicio que lo motiva (art. 83 CPC)","15 días desde la notificación del acto viciado","30 días desde la resolución","No tiene plazo",0,"Art. 83 inc. 2 CPC: 5 días desde que aparezca o se acredite el vicio. Excepción: la incompetencia absoluta puede alegarse en cualquier momento.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IX,De los incidentes,2
"El abandono del procedimiento se produce cuando:","Todas las partes cesan en su prosecución durante 6 meses desde la última resolución en gestión útil","Solo el demandante abandona durante 3 meses","El demandado no contesta la demanda","El tribunal paraliza la causa por más de 1 año",0,"Art. 152 CPC: tres requisitos: inactividad de TODAS las partes + 6 meses + desde última resolución en gestión útil.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVI,Del abandono del procedimiento,1
"El abandono del procedimiento puede ser alegado por:","Solo el demandado (art. 153 CPC)","Solo el demandante","Cualquiera de las partes","Solo el tribunal de oficio",0,"Art. 153 CPC: el abandono es una sanción a la inactividad que beneficia al demandado. Solo él puede alegarlo.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVI,Del abandono del procedimiento,1
"El efecto del abandono del procedimiento es:","Se pierde todo lo obrado, pero NO se extingue la acción: puede iniciarse nuevo juicio","Se extingue definitivamente la acción","Se condena en costas al demandante","Se dicta sentencia favorable al demandado",0,"Art. 156 CPC: se pierden las actuaciones pero la acción sobrevive. Diferencia clave con el desistimiento (que SÍ extingue la acción).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVI,Del abandono del procedimiento,2
"Las medidas precautorias del art. 290 CPC son:","Secuestro, interventor, retención de bienes y prohibición de celebrar actos o contratos","Solo el embargo de bienes","Solo la retención de bienes","Solo la prohibición de enajenar",0,"Art. 290 CPC: cuatro medidas nominadas. Además, el art. 298 inc. 2 permite medidas innominadas cuando las nominadas sean insuficientes.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V_LIBRO_II,De las medidas precautorias,1
