termino,definicion,rama,libro,titulo,materia,dificultad
"Actos judiciales no contenciosos","Aquellos que requieren intervención judicial sin contienda entre partes. Jurisdicción voluntaria o graciosa. Prueba prudencial, resoluciones negativas modificables de oficio (arts. 817-925 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"Jurisdicción voluntaria","Actividad judicial que no resuelve conflictos sino que da certeza jurídica, autoriza actos o protege incapaces. No produce cosa juzgada material. Sinónimo de actos no contenciosos.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"Posesión efectiva","Resolución que reconoce la calidad de heredero. Intestada: Registro Civil (Ley 19.903). Testamentaria: tribunal civil (CPC Libro IV). Permite disponer de la herencia.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_IV,De la posesión efectiva,1
"Inventario solemne","Enumeración y descripción detallada de bienes practicada con solemnidades legales ante ministro de fe. Tiene valor de instrumento público. Obligatorio en sucesiones con incapaces (art. 858 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_VII,Del inventario solemne,2
"Herencia yacente","Herencia no aceptada 15 días después de la apertura de la sucesión y sin albacea. El tribunal la declara yacente y designa curador para administrar (art. 1240 CC + 885 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_V,De la herencia yacente,2
"Muerte presunta","Declaración judicial que presume fallecida a una persona desaparecida. Tres períodos: mera ausencia, posesión provisoria, posesión definitiva. Publicaciones en Diario Oficial (arts. 80-94 CC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Cambio de nombre","Procedimiento judicial (Ley 17.344) para modificar nombres o apellidos. Una sola vez en la vida. Publicación en Diario Oficial. 30 días para oposición.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Información para perpetua memoria","Acto no contencioso para conservar declaraciones testimoniales sobre hechos que podrían perderse. Preserva prueba para uso futuro (art. 909 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_XIII,De la información para perpetua memoria,2
"Curador ad litem","Representante judicial del incapaz designado por el tribunal cuando el representante legal tiene conflicto de interés o está ausente. Solo para el juicio específico (art. 494 CC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Cosa juzgada formal","Efecto de las resoluciones en actos no contenciosos: estabilidad mientras no cambien las circunstancias. Distinta de la cosa juzgada material que impide revisar un asunto definitivamente.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Legítimo contradictor","Persona que tiene interés legítimo en oponerse a la solicitud del acto no contencioso. Su oposición transforma el asunto en contencioso (art. 823 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Tasación","Determinación del valor de bienes por perito. Acto no contencioso usado en sucesiones, particiones y venta de bienes de incapaces. Puede ser por perito designado judicialmente (art. 895 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_VIII,De la tasación,2
