pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué es la partición de bienes según el art. 1317 CC?","El conjunto de actos destinados a poner fin al estado de indivisión hereditaria, distribuyendo los bienes comunes entre los comuneros. Ningún coasignatario está obligado a permanecer en la indivisión.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,1
"¿Quién puede pedir la partición según el art. 1317 CC?","Cualquiera de los coasignatarios, en cualquier tiempo. La acción de partición es imprescriptible. Ninguno está obligado a permanecer en la indivisión, salvo pacto de indivisión (máximo 5 años renovables).",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,1
"¿Cuáles son las formas de hacer la partición?","1) De común acuerdo: si todos los comuneros son capaces y están de acuerdo (art. 1325), 2) Por juez partidor: árbitro de derecho designado por los coasignatarios, el testador o el juez (art. 1323-1324), 3) Por el testador: el causante puede hacer la partición en el testamento (art. 1318).",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"¿Quién es el juez partidor según el art. 1323 CC?","Un árbitro de derecho que conoce del juicio de partición. Puede ser designado por: 1) el testador en su testamento, 2) los coasignatarios de común acuerdo, 3) el juez ordinario a falta de acuerdo.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"¿Qué es la adjudicación en la partición?","El acto por el cual se entrega a cada comunero los bienes que le corresponden en pago de su cuota hereditaria. Tiene efecto declarativo: se reputa que el adjudicatario ha sido dueño exclusivo desde la muerte del causante (art. 1344 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"¿Qué efecto tiene la adjudicación según el art. 1344 CC?","Efecto declarativo y retroactivo: cada asignatario se reputa haber sucedido inmediata y exclusivamente al difunto en todos los efectos que le hubieren cabido, y no haber tenido jamás parte alguna en los otros efectos de la sucesión.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"¿Qué es el pacto de indivisión según el art. 1317 inc. 2 CC?","Acuerdo entre los coasignatarios para mantener la indivisión. No puede estipularse por más de 5 años, pero puede renovarse cada vez que expire.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"¿Puede el testador hacer la partición según el art. 1318 CC?","Sí. El testador puede hacer la partición por acto entre vivos o por testamento, siempre que no vulnere las legítimas de los herederos forzosos.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"¿Qué es la nulidad de la partición?","Las particiones se anulan o rescinden de la misma manera y según las mismas reglas que los contratos (art. 1348 CC). También puede haber nulidad por lesión: si alguno de los coasignatarios es perjudicado en más de la mitad de su cuota.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,3
"¿Existe lesión enorme en la partición según el art. 1348 CC?","Sí. Las particiones pueden rescindirse por lesión, cuando alguno de los coasignatarios ha sido perjudicado en más de la mitad de su cuota. Es una aplicación especial de la lesión enorme.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,3
"¿Cómo se pagan las deudas hereditarias según el art. 1354 CC?","Las deudas hereditarias se dividen entre los herederos a prorrata de sus cuotas. Cada heredero responde de las deudas en proporción a su parte en la herencia.",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,1
"¿Qué diferencia hay entre deudas hereditarias y deudas testamentarias?","Las hereditarias son las que el causante tenía en vida y se transmiten a los herederos. Las testamentarias son las que nacen del testamento (legados, cargas testamentarias). Ambas se pagan con los bienes hereditarios.",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,2
"¿El legatario responde de las deudas hereditarias?","Como regla general, no. El legatario solo responde de las cargas que gravan específicamente los bienes legados. Los herederos responden de las deudas a prorrata de sus cuotas (art. 1354 CC). Excepción: subsidiariamente si no hay bienes suficientes.",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,2
"¿Qué es el beneficio de separación según el art. 1378 CC?","El derecho que tienen los acreedores hereditarios y testamentarios para pedir que los bienes de la herencia no se confundan con los bienes del heredero. Así se aseguran de cobrar con preferencia sobre los acreedores personales del heredero.",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,3
"¿Qué es la donación entre vivos según el art. 1386 CC?","Acto por el cual una persona transfiere gratuitamente e irrevocablemente una parte de sus bienes a otra persona, que la acepta.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,1
"¿Cuáles son las características de la donación entre vivos?","1) Es un contrato (requiere aceptación del donatario), 2) Es gratuito (el donante no recibe contraprestación), 3) Es irrevocable como regla general, 4) Implica un empobrecimiento del donante y un enriquecimiento del donatario, 5) Es solemne si recae sobre inmuebles.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,1
"¿Cuáles son los requisitos de la donación entre vivos?","1) Capacidad del donante y del donatario, 2) Consentimiento (oferta + aceptación), 3) Objeto lícito, 4) Causa lícita, 5) Insinuación si excede cierto monto (art. 1401 CC), 6) Escritura pública si recae sobre inmuebles.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿Qué es la insinuación de la donación según el art. 1401 CC?","La autorización judicial necesaria para toda donación entre vivos cuyo valor exceda de 2 centavos (en la práctica, un monto menor determinado jurisprudencialmente). Sin insinuación, la donación es nula en el exceso.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿Las donaciones entre vivos son revocables?","Como regla general, son irrevocables (art. 1386 CC). Excepcionalmente pueden revocarse: 1) Por ingratitud del donatario (art. 1428), 2) Por incumplimiento de cargas impuestas al donatario, 3) Por sobrevenir causa legal de desheredamiento contra el donatario.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿Qué es la donación con causa onerosa según el art. 1404 CC?","La que se hace para que el donatario cumpla una obligación o carga. La carga impuesta no convierte la donación en contrato oneroso, salvo que la carga sea equivalente al beneficio.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿Qué son las donaciones revocables o por causa de muerte según el art. 1136 CC?","Las que el donante puede revocar a su arbitrio mientras viva. Se confirman por la muerte del donante. Se rigen por las reglas de las asignaciones testamentarias.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿La donación entre vivos requiere escritura pública?","Depende del objeto: si recae sobre inmuebles, requiere escritura pública e inscripción. Si recae sobre muebles, puede ser consensual. Además, toda donación que exceda cierto monto requiere insinuación judicial (art. 1401).",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿Puede donarse entre cónyuges no separados judicialmente?","Sí, pero son donaciones revocables (art. 1137 CC). Las donaciones entre cónyuges son siempre revocables mientras dure el matrimonio.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿Qué es la donación por ingratitud y cuándo puede revocarse?","El art. 1428 CC permite revocar la donación por ingratitud del donatario: cuando este ha cometido una injuria atroz contra el donante. Es una excepción a la irrevocabilidad general.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿Qué efecto tiene la donación excesiva respecto de los legitimarios?","Si la donación perjudica las legítimas, los legitimarios tienen la acción de inoficiosa donación (art. 1187 CC) para rescindirla en lo que exceda la cuarta de libre disposición.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"¿Qué es la obligación de garantía entre los coasignatarios según el art. 1345 CC?","Cada coasignatario es garante de las adjudicaciones hechas a los demás. Si uno de ellos es evicto (pierde un bien adjudicado por acción de un tercero), los demás deben indemnizarlo a prorrata.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,3
"¿La acción de partición prescribe?","No. El art. 1317 CC establece que siempre se puede pedir la partición. La acción es imprescriptible. Pero si un comunero prescribió a su favor por posesión exclusiva, ya no hay comunidad y la partición no procede.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
