termino,definicion,rama,libro,titulo,materia,dificultad
"Testamento","Acto más o menos solemne en que una persona dispone del todo o parte de sus bienes para que tenga pleno efecto después de sus días, conservando la facultad de revocar mientras viva (art. 999 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_III,De las asignaciones testamentarias,1
"Testamento solemne abierto","El otorgado ante notario y 3 testigos (o 5 testigos sin notario) en que el testador hace sabedores de sus disposiciones a los testigos (art. 1015 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_III,De las asignaciones testamentarias,1
"Testamento solemne cerrado","El otorgado ante notario y 3 testigos en que el testador presenta una escritura cerrada declarando que contiene su testamento, sin revelar el contenido (art. 1023 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_III,De las asignaciones testamentarias,2
"Testamento verbal","Testamento menos solemne que puede otorgarse ante 3 testigos cuando hay peligro inminente de muerte y no hay tiempo para testamento solemne. Caduca a los 30 días si el testador sobrevive (arts. 1033-1036 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_III,De las asignaciones testamentarias,2
"Asignación testamentaria","Disposición que hace el testador a favor de una persona (asignatario) para suceder en sus bienes. Puede ser a título universal (herencia) o singular (legado) — art. 953 CC.",DERECHO_CIVIL,LIBRO_III,TITULO_IV,De las asignaciones testamentarias,1
"Legado de especie","Asignación a título singular que recae sobre una cosa determinada e individual. El legatario adquiere dominio desde la muerte del causante, aunque debe pedir entrega a los herederos.",DERECHO_CIVIL,LIBRO_III,TITULO_IV,De las asignaciones testamentarias,2
"Legado de género","Asignación a título singular que recae sobre cosas determinadas solo por género y cantidad. Confiere un crédito contra los herederos, no dominio inmediato.",DERECHO_CIVIL,LIBRO_III,TITULO_IV,De las asignaciones testamentarias,2
"Asignación condicional","La que depende de un hecho futuro e incierto (condición). Si es suspensiva, la delación se posterga. Si es resolutoria, se defiere de inmediato pero puede resolverse (art. 1070 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_IV,De las asignaciones testamentarias,2
"Asignación modal","La que se deja con la carga de cumplir un modo (obligación). El modo no suspende la adquisición. El incumplimiento puede generar resolución solo si hay cláusula resolutoria expresa (art. 1089 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_IV,De las asignaciones testamentarias,2
"Albacea o ejecutor testamentario","Persona nombrada por el testador para ejecutar sus disposiciones testamentarias. Es un cargo de confianza, personalísimo e intransferible (art. 1270 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_IV,De las asignaciones testamentarias,2
"Legitimarios","Herederos forzosos: hijos (personalmente o representados), ascendientes y cónyuge sobreviviente. El testador debe respetar su legítima (art. 1182 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_IV,De las asignaciones testamentarias,1
"Preterición","Omisión de un legitimario en el testamento. No lo priva de su legítima: se entiende instituido heredero en ella y la distribución se ajusta judicialmente (art. 1218 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_IV,De las asignaciones testamentarias,2
