termino,definicion,rama,libro,titulo,materia,dificultad
"Ocupación","Modo de adquirir el dominio de las cosas que no pertenecen a nadie, cuya adquisición no es prohibida, mediante la aprehensión material con ánimo de hacerlas propias (art. 606 CC). Solo aplica a muebles.",DERECHO_CIVIL,LIBRO_II,TITULO_IV,De la ocupación,1
"Tesoro","Monedas o joyas u otros efectos preciosos elaborados por el hombre que han estado largo tiempo sepultados o escondidos sin memoria ni indicio de su dueño (art. 625 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_IV,De la ocupación,2
"Accesión","Modo de adquirir por el cual el dueño de una cosa pasa a serlo de lo que ella produce (frutos) o de lo que se junta a ella (unión). Lo accesorio sigue la suerte de lo principal (art. 643 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_V,De la accesión,1
"Aluvión","Aumento que recibe la ribera de un río o lago por el lento e imperceptible retiro de las aguas. El terreno accede a las propiedades ribereñas (art. 649 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_V,De la accesión,2
"Avulsión","Traslado de un trozo de terreno por fuerza de las aguas de un sitio a otro. El dueño conserva su dominio por 1 año; después, accede al predio receptor (art. 652 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_V,De la accesión,2
"Tradición","Modo de adquirir el dominio que consiste en la entrega que el dueño hace de una cosa a otro, habiendo por una parte facultad e intención de transferir dominio, y por otra capacidad e intención de adquirirlo (art. 670 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_VI,De la tradición,1
"Tradente","Persona que por la tradición transfiere el dominio de la cosa entregada por él o a su nombre (art. 671 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_VI,De la tradición,1
"Adquirente","Persona que por la tradición adquiere el dominio de la cosa recibida (art. 671 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_VI,De la tradición,1
"Posesión","Tenencia de una cosa determinada con ánimo de señor o dueño, sea que el dueño o el que se da por tal tenga la cosa por sí mismo o por otra persona a su nombre (art. 700 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_VII,De la posesión,1
"Posesión regular","La que procede de justo título y ha sido adquirida de buena fe; si el título es traslaticio se requiere además tradición (art. 702 CC). Habilita para prescripción ordinaria.",DERECHO_CIVIL,LIBRO_II,TITULO_VII,De la posesión,2
"Posesión irregular","La que carece de uno o más requisitos de la posesión regular (justo título, buena fe o tradición). Habilita para prescripción extraordinaria de 10 años.",DERECHO_CIVIL,LIBRO_II,TITULO_VII,De la posesión,2
"Mera tenencia","Detentación de una cosa reconociendo dominio ajeno (art. 714 CC). Ej: arrendatario, comodatario, depositario. Es indeleble: no se convierte en posesión por el paso del tiempo (art. 716).",DERECHO_CIVIL,LIBRO_II,TITULO_VII,De la posesión,1
"Justo título","Acto o hecho jurídico que por su naturaleza es apto para atribuir dominio (art. 703 CC). Son constitutivos (ocupación, accesión, prescripción) o traslaticios (compraventa, donación, permuta).",DERECHO_CIVIL,LIBRO_II,TITULO_VII,De la posesión,2
"Buena fe posesoria","Conciencia de haberse adquirido el dominio por medios legítimos, exentos de fraude y de todo otro vicio (art. 706 CC). Se presume, salvo presunción legal contraria.",DERECHO_CIVIL,LIBRO_II,TITULO_VII,De la posesión,2
