termino,definicion,rama,libro,titulo,materia,dificultad
"Propiedad fiduciaria","La que está sujeta al gravamen de pasar a otra persona por el hecho de verificarse una condición. Su constitución se llama fideicomiso (art. 733 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,1
"Fideicomisario","Persona a quien debe restituirse la propiedad fiduciaria si se cumple la condición. No necesita existir al momento de la constitución (art. 737 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"Propietario fiduciario","Persona que recibe la cosa con el gravamen de restituirla al fideicomisario si se cumple la condición. Es dueño sujeto a condición resolutoria.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"Usufructo","Derecho real que consiste en la facultad de gozar de una cosa con cargo de conservar su forma y sustancia y de restituirla a su dueño (art. 764 CC). Separa uso/goce de la disposición.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,1
"Nudo propietario","Dueño de la cosa gravada con usufructo. Conserva la disposición pero pierde el uso y goce mientras dure el usufructo.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,1
"Derecho de uso","Derecho real que consiste en la facultad de gozar de una parte limitada de las utilidades y productos de una cosa (art. 811 CC). Es personalísimo e intransferible.",DERECHO_CIVIL,LIBRO_II,TITULO_X,Del derecho de uso y de habitación,1
"Derecho de habitación","Especie de derecho de uso que se refiere a una casa y a la utilidad de morar en ella (art. 811 CC). Es personalísimo e intransferible.",DERECHO_CIVIL,LIBRO_II,TITULO_X,Del derecho de uso y de habitación,1
"Servidumbre","Gravamen impuesto sobre un predio (sirviente) en utilidad de otro predio (dominante) de distinto dueño (art. 820 CC). Es un derecho real inmobiliario.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,1
"Predio sirviente","El predio que soporta el gravamen de la servidumbre. Sufre una limitación en el ejercicio del dominio en beneficio del predio dominante.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,1
"Predio dominante","El predio que reporta la utilidad de la servidumbre. Tiene el derecho de ejercerla sobre el predio sirviente.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,1
"Servidumbre continua","La que se ejerce sin necesidad de un hecho actual del hombre (art. 822 CC). Ej: acueducto, vista. Puede adquirirse por prescripción si es también aparente.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"Servidumbre discontinua","La que se ejerce a intervalos más o menos largos y supone un hecho actual del hombre (art. 822 CC). Ej: servidumbre de tránsito. No puede adquirirse por prescripción.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
