termino,definicion,rama,libro,titulo,materia,dificultad
"Instrumento público","Documento autorizado con las solemnidades legales por el competente funcionario. Hace plena fe erga omnes sobre su otorgamiento, fecha y declaraciones del funcionario (arts. 1699-1700 CC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,1
"Instrumento privado","Documento que no es instrumento público. Carece de valor probatorio hasta ser reconocido expresa, tácita o judicialmente (art. 346 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,1
"Prueba testimonial","Declaración de terceros ajenos al juicio sobre hechos percibidos directamente (presenciales) o por referencia (de oídas). Máximo 6 testigos por punto de prueba (art. 372 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba testimonial,1
"Tachas","Inhabilidades de testigos que pueden alegarse para restarles valor probatorio. Absolutas (art. 357: menores de 14, dementes) o relativas (art. 358: interés, parentesco, dependencia).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba testimonial,2
"Confesión de parte","Reconocimiento de un hecho que perjudica al confesante y beneficia a la contraparte. Judicial provocada (absolución de posiciones) o espontánea. Plena prueba sobre hechos personales (art. 1713 CC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la confesión de parte,1
"Absolución de posiciones","Forma provocada de confesión: la parte es citada a declarar bajo juramento respondiendo un pliego de preguntas. Incomparecencia o evasivas = confesión ficta (art. 394 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la confesión de parte,2
"Inspección personal del tribunal","Examen directo del juez sobre la cosa litigiosa, lugar o hechos materiales. Constituye plena prueba sobre hechos materiales constatados (art. 408 CPC). Prueba directa.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la inspección personal del tribunal,1
"Informe de peritos","Opinión de expertos con conocimientos especiales sobre ciencia, arte u oficio. Se valora por SANA CRÍTICA (art. 425 CPC), no por prueba tasada. Puede ser obligatorio o facultativo.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,Del informe de peritos,1
"Presunciones judiciales","Razonamientos del juez que deduce hechos desconocidos de hechos conocidos (indicios). Deben ser graves, precisas y concordantes (art. 1712 CC). Una sola puede bastar si es suficientemente grave.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De las presunciones,2
"Plena prueba","Prueba que basta por sí sola para establecer un hecho. Ej: instrumento público, confesión judicial, inspección personal, dos testigos contestes. Es el estándar máximo en prueba legal tasada.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De los medios de prueba,2
"Carga de la prueba","Regla de distribución del onus probandi: al demandante le corresponde probar la existencia de la obligación; al demandado, su extinción (art. 1698 CC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De los medios de prueba,1
"Sana crítica","Sistema de valoración de la prueba basado en la lógica, las máximas de la experiencia y los conocimientos científicamente afianzados. Se aplica al peritaje (art. 425 CPC) como excepción a la prueba tasada.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,Del informe de peritos,2
