pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La competencia según el art. 108 COT es:","La facultad de cada tribunal para conocer de los negocios que la ley ha colocado dentro de sus atribuciones","El poder genérico de administrar justicia","La capacidad de las partes para litigar","La jurisdicción del Poder Ejecutivo",0,"Art. 108 COT: definición legal. Competencia = medida de la jurisdicción asignada a cada tribunal concreto.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia,1
"Los factores de competencia absoluta son:","Materia, fuero y cuantía","Territorio, materia y prórroga","Solo materia y cuantía","Solo fuero y territorio",0,"Arts. 115-133 COT: tres factores que determinan la JERARQUÍA del tribunal. Improrrogables.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,1
"El factor materia determina:","Qué clase de tribunal conoce según la naturaleza del asunto (civil, penal, laboral, familia)","Quién es el juez de turno","El monto de la demanda","El domicilio del demandado",0,"La materia es el primer factor de competencia absoluta. Civil → Juzgado Civil. Penal → JG/TOP. Laboral → Juzgado del Trabajo.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,1
"El fuero como factor de competencia absoluta:","Eleva la competencia a un tribunal de mayor jerarquía por la calidad de las personas litigantes","Determina el domicilio del demandado","Fija el valor de lo disputado","Solo opera en materia penal",0,"Art. 50 COT: personas con fuero (Presidente, ministros, diplomáticos) → competencia elevada a ministro de CA.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,2
"El factor cuantía en materia civil se determina por:","El valor de la cosa disputada o la cantidad demandada. Si es indeterminada, se reputa de mayor cuantía","Siempre por el avalúo fiscal","El sueldo del demandante","La cantidad de partes en el juicio",0,"Arts. 115-132 COT: determinada → monto de la demanda. Indeterminada → mayor cuantía (art. 131).",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,2
"La regla general de competencia territorial en asuntos civiles es:","El tribunal del domicilio del demandado (art. 134 COT)","El tribunal del domicilio del demandante","El tribunal de Santiago siempre","El tribunal que elija el demandante libremente",0,"Art. 134 COT: domicilio del demandado = regla general. Protege al demandado de ser llevado a litigar lejos.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia relativa,1
"Para acciones sobre bienes inmuebles es competente:","El tribunal del lugar donde esté situado el inmueble (art. 135 COT)","El tribunal del domicilio del demandado","El tribunal del domicilio del demandante","La Corte de Apelaciones más cercana",0,"Art. 135 COT: regla especial para inmuebles. El juez del lugar del inmueble tiene mejor acceso a la prueba.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia relativa,2
"La prórroga de competencia solo procede en:","Asuntos civiles contenciosos y solo respecto del factor territorio (arts. 181-187 COT)","Todos los asuntos judiciales","Solo asuntos penales","Asuntos civiles y penales por igual",0,"Arts. 181-187 COT: tres limitaciones. 1) Solo civil contencioso. 2) Solo territorio. 3) Misma jerarquía.",DERECHO_ORGANICO,COT,TITULO_VII,De la prórroga de competencia,1
"La prórroga tácita de competencia se produce cuando:","El demandante demanda ante tribunal incompetente y el demandado contesta sin alegar incompetencia","Las partes firman un contrato con cláusula de prórroga","El tribunal se declara competente de oficio","El demandante paga una tasa judicial",0,"Art. 187 COT: silencio del demandado = aceptación tácita. Si no opone excepción de incompetencia, prorroga.",DERECHO_ORGANICO,COT,TITULO_VII,De la prórroga de competencia,2
"La competencia absoluta es improrrogable porque:","Es de orden público: las partes no pueden alterar la jerarquía del tribunal","Las leyes lo prohíben expresamente pero sin razón","Es una costumbre judicial","Solo el Presidente puede modificarla",0,"Materia, fuero y cuantía protegen el interés público. La jerarquía del tribunal no depende de la voluntad de las partes.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,2
