termino,definicion,rama,libro,titulo,materia,dificultad
"Filiación","Vínculo jurídico que une a un hijo con su padre o madre. Puede ser matrimonial, no matrimonial o adoptiva. Todos los hijos tienen los mismos derechos (Ley 19.585).",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,1
"Filiación matrimonial","La que existe cuando los padres están casados entre sí al tiempo de la concepción o del nacimiento del hijo, o cuando contraen matrimonio con posterioridad al nacimiento (art. 180 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,1
"Filiación no matrimonial","La que existe cuando los padres no están casados entre sí. Se determina por reconocimiento voluntario o por sentencia judicial (art. 186 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,1
"Reconocimiento voluntario","Acto jurídico unilateral, solemne e irrevocable por el cual el padre o madre acepta la filiación de un hijo. Puede hacerse ante el Oficial del RC, en escritura pública o en acto testamentario (art. 187 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,2
"Acción de reclamación de filiación","Acción que permite al hijo o sus herederos obtener el establecimiento judicial de la filiación no determinada. Es imprescriptible e irrenunciable respecto del hijo (art. 195 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_VIII,De las acciones de filiación,1
"Acción de impugnación de filiación","Acción que permite destruir una filiación ya determinada, demostrando que no corresponde a la realidad biológica. Puede ser de paternidad (art. 211) o de maternidad (art. 217).",DERECHO_CIVIL,LIBRO_I,TITULO_VIII,De las acciones de filiación,1
"Posesión notoria del estado civil de hijo","Situación de hecho en que el padre o madre ha tratado a una persona como hijo, proveyendo a su educación y establecimiento, durante al menos 5 años continuos (art. 200 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_VIII,De las acciones de filiación,2
"Cuidado personal","Derecho y deber del padre o madre relativo a la persona del hijo: crianza, educación y formación. Corresponde a ambos padres de consuno por principio de corresponsabilidad (art. 224-225 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_IX,De los derechos y obligaciones entre los padres y los hijos,1
"Relación directa y regular","Derecho del padre o madre que no tiene el cuidado personal del hijo a mantener contacto con este. Antiguamente llamado 'derecho de visitas' (art. 229 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_IX,De los derechos y obligaciones entre los padres y los hijos,1
"Patria potestad","Conjunto de derechos y deberes que corresponden al padre o madre sobre los BIENES de sus hijos no emancipados. Comprende: derecho legal de goce, administración y representación legal (art. 243 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,1
"Peculio profesional","Bienes adquiridos por el hijo no emancipado en el ejercicio de un empleo, oficio, profesión o industria. Están excluidos del derecho legal de goce del padre o madre (art. 250 Nº 1 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,2
"Emancipación","Hecho que pone fin a la patria potestad. Puede ser legal (opera por ministerio de la ley: muerte, matrimonio, mayoría de edad) o judicial (por decreto del juez: maltrato, abandono). Es irrevocable (art. 269 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_X,De la patria potestad,1
