pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La propiedad fiduciaria según el art. 733 CC está sujeta a:","Un gravamen de pasar a otra persona al verificarse una condición","Un plazo determinado para su restitución","La voluntad exclusiva del propietario fiduciario","Un canon periódico pagado al fideicomisario",0,"Art. 733 CC: el fideicomiso depende de una condición, no de un plazo. Si se cumple la condición, la propiedad pasa al fideicomisario.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,1
"El plazo máximo para que se cumpla la condición del fideicomiso es según el art. 739 CC:","5 años desde la delación de la propiedad fiduciaria","10 años desde la constitución","Sin plazo máximo: dura hasta que se cumpla la condición","3 años desde la inscripción",0,"Art. 739 CC: toda condición debe cumplirse dentro de 5 años. Transcurrido ese plazo sin cumplirse, se entiende fallida y el fiduciario consolida su dominio.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"¿Pueden constituirse fideicomisos sucesivos según el art. 745 CC?","No, se prohíben; si se constituyen, solo vale el primero","Sí, hasta un máximo de tres sucesivos","Sí, siempre que cada uno dure menos de 5 años","Solo si lo autoriza el juez",0,"Art. 745 CC: se prohíbe constituir dos o más fideicomisos sucesivos. Evita la vinculación indefinida de la propiedad.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"El usufructo según el art. 764 CC es:","Un derecho real de gozar de cosa ajena con cargo de conservar su forma y sustancia y restituirla","Un derecho personal de usar la cosa del deudor","La propiedad temporal de una cosa ajena","El arriendo de una cosa con plazo indefinido",0,"Art. 764 CC: derecho real + goce de cosa ajena + conservar forma y sustancia + restituir. Es un derecho real limitado que separa uso/goce de la disposición.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,1
"La duración máxima del usufructo constituido a favor de una persona jurídica es:","30 años","50 años","100 años","Sin límite temporal",0,"Art. 770 CC: si se constituye a favor de persona jurídica, no puede durar más de 30 años. Para personas naturales, puede durar toda su vida.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"El usufructo es intransmisible por causa de muerte. Esto significa que:","Se extingue con la muerte del usufructuario y no pasa a sus herederos","Solo se transmite a herederos testamentarios","Se transforma en propiedad plena al morir el usufructuario","Se prorroga por un período igual a favor de los herederos",0,"Art. 773 CC: el usufructo es intransmisible. Al morir el usufructuario, se extingue y la nuda propiedad se consolida: el nudo propietario recupera el goce.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,1
"¿Cuál de las siguientes NO es obligación del usufructuario?","Pagar el precio de la cosa al nudo propietario","Confeccionar inventario solemne de los bienes","Rendir caución de conservación y restitución","Restituir la cosa al término del usufructo",0,"El usufructuario no paga precio: el usufructo puede ser gratuito. Sus obligaciones son inventario, caución, conservar forma/sustancia, y restituir.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"¿Cuál es la diferencia principal entre usufructo y derecho de uso?","El usufructo da derecho a todos los frutos; el uso solo a una parte limitada de utilidades y productos","El usufructo es un derecho real y el uso es personal","El usufructo recae sobre inmuebles y el uso sobre muebles","No hay diferencia relevante entre ambos",0,"Arts. 764 y 811 CC: el usufructo da goce completo; el uso solo una parte limitada. Además, el uso es personalísimo e intransferible (art. 819), a diferencia del usufructo.",DERECHO_CIVIL,LIBRO_II,TITULO_X,Del derecho de uso y de habitación,1
"El derecho de habitación según el art. 811 CC:","Es el derecho de uso referido a una casa, para morar en ella","Es el derecho de construir en terreno ajeno","Es sinónimo de usufructo sobre inmuebles","Es el derecho del arrendatario a no ser desalojado",0,"Art. 811 CC: la habitación es una especie de uso que se refiere a la utilidad de morar en una casa. Es personalísimo e intransferible.",DERECHO_CIVIL,LIBRO_II,TITULO_X,Del derecho de uso y de habitación,1
"Los derechos de uso y habitación son:","Personalísimos, intransferibles e intransmisibles","Libremente transferibles y transmisibles","Transferibles con autorización del nudo propietario","Transmisibles solo por testamento",0,"Art. 819 CC: son personalísimos. No pueden cederse, arrendarse ni transmitirse por causa de muerte. Se extinguen con la muerte del titular.",DERECHO_CIVIL,LIBRO_II,TITULO_X,Del derecho de uso y de habitación,1
"Una servidumbre según el art. 820 CC es:","Un gravamen impuesto sobre un predio en utilidad de otro predio de distinto dueño","Un derecho real sobre cosa propia","Una limitación al uso de un bien mueble","Un contrato entre vecinos",0,"Art. 820 CC: servidumbre = gravamen sobre predio sirviente + utilidad para predio dominante + distinto dueño. Es un derecho real inmobiliario.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,1
"¿Cuál de las siguientes servidumbres es de origen legal?","La servidumbre de tránsito para predio sin acceso a camino público","Una servidumbre de vista pactada entre vecinos","El usufructo constituido por testamento","La hipoteca sobre un inmueble",0,"Art. 847 CC: la servidumbre de tránsito es legal (impuesta por la ley cuando un predio carece de acceso a camino público). La servidumbre de vista pactada sería voluntaria.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"Solo pueden adquirirse por prescripción adquisitiva las servidumbres:","Continuas y aparentes","Discontinuas y aparentes","Continuas e inaparentes","Todas las servidumbres sin distinción",0,"Art. 882 CC: solo las servidumbres continuas Y aparentes pueden adquirirse por prescripción (5 años). Las discontinuas o inaparentes requieren título.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"La servidumbre de tránsito es:","Discontinua, porque requiere un hecho actual del hombre para ejercerse","Continua, porque el camino existe permanentemente","Aparente y continua","Natural, porque proviene de la situación de los predios",0,"La servidumbre de tránsito es discontinua (requiere que alguien camine) y generalmente aparente (el camino es visible). Es legal, no natural.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"Las servidumbres se extinguen por no uso durante:","3 años","5 años","10 años","1 año",0,"Art. 885 Nº 5 CC: las servidumbres se extinguen por haberse dejado de gozar durante 3 años (prescripción extintiva especial).",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"La confusión como causal de extinción de servidumbre significa:","Que ambos predios (sirviente y dominante) pasan a tener el mismo dueño","Que el dueño del predio dominante se equivoca sobre la ubicación de la servidumbre","Que los linderos entre los predios se confunden por fenómeno natural","Que se pierde el título de la servidumbre",0,"Art. 885 Nº 3 CC: confusión = reunión perfecta e irrevocable de ambos predios en manos de un mismo dueño. Nadie puede tener servidumbre sobre cosa propia (nemini res sua servit).",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿En qué se diferencian la servidumbre de luz y la de vista?","La de luz solo permite el paso de claridad; la de vista permite mirar al predio vecino","La de luz recae sobre predios rurales y la de vista sobre urbanos","La de luz es legal y la de vista es voluntaria","No hay diferencia práctica entre ambas",0,"Arts. 873-878 CC: la de luz da claridad (ventana con reja y vidrio fijo). La de vista permite mirar al vecino (ventanas que se abren, balcones). La de vista es más gravosa.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"El nudo propietario conserva:","La facultad de disposición sobre la cosa; puede enajenarla, hipotecarla o gravarla","Todas las facultades del dominio sin restricción","Solo el derecho a percibir frutos","Ningún derecho mientras dure el usufructo",0,"El nudo propietario pierde uso y goce (que tiene el usufructuario) pero conserva la disposición: puede vender, hipotecar o gravar la nuda propiedad.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"¿Cuál de las siguientes es una servidumbre natural?","La servidumbre de libre escurrimiento de aguas de un predio superior a uno inferior","La servidumbre de tránsito","La servidumbre de acueducto","La medianería",0,"Art. 833 CC: la servidumbre de libre escurrimiento de aguas es natural, derivada de la situación de los predios. Las demás son legales.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Puede el propietario fiduciario enajenar la cosa sujeta a fideicomiso?","Sí, pero el adquirente la recibirá con el gravamen de restituir si se cumple la condición","No, la propiedad fiduciaria es inalienable","Solo con autorización judicial","Solo al fideicomisario",0,"Art. 751 CC: el fiduciario puede enajenar la cosa, pero el adquirente la adquiere con el gravamen del fideicomiso. La condición sigue a la cosa.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,3
