afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"El juicio sumario tiene un término probatorio de 20 días como el ordinario.",false,"Art. 686 CPC: el término probatorio del sumario es de 8 DÍAS, no 20. Es un procedimiento breve y concentrado.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XI,Del juicio sumario,1
"En el juicio sumario la audiencia de contestación se fija para el 5° día hábil.",true,"Art. 683 CPC: la audiencia es al 5° día hábil después de la última notificación. Concentra contestación, conciliación y eventual prueba.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XI,Del juicio sumario,1
"La apelación en el juicio sumario se concede en ambos efectos como regla general.",false,"Art. 691 CPC: la regla general es el SOLO efecto devolutivo. La sentencia puede cumplirse pese al recurso pendiente.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XI,Del juicio sumario,2
"El procedimiento sumario nunca puede sustituirse por el ordinario.",false,"Art. 681 CPC: SÍ puede sustituirse cuando la procedencia sumaria fue por naturaleza de la acción (no por texto legal expreso) y hay motivos fundados.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XI,Del juicio sumario,2
"Las acciones posesorias solo protegen al dueño del inmueble.",false,"Arts. 916-920 CC: las acciones posesorias protegen al POSEEDOR, no necesariamente al dueño. La querella de restablecimiento protege incluso al mero tenedor.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_IV,De los interdictos posesorios,1
"Las acciones posesorias prescriben en un año desde la perturbación o despojo.",true,"Art. 920 CC: prescripción de 1 año como regla general. Excepción: querella de restablecimiento prescribe en 6 meses.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_IV,De los interdictos posesorios,2
"La querella de restablecimiento exige probar posesión tranquila de un año.",false,"Art. 928 CC: la querella de restablecimiento NO exige posesión de un año. Basta probar el despojo violento. Protege incluso al mero tenedor.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_IV,De los interdictos posesorios,2
"En los interdictos posesorios se discute el dominio del inmueble.",false,"Los interdictos protegen la POSESIÓN como hecho jurídico, sin discutir dominio. El dominio se discute en juicio ordinario reivindicatorio.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_IV,De los interdictos posesorios,1
"La denuncia de obra nueva puede obtener la suspensión provisional de la obra.",true,"Arts. 565-570 CPC: el tribunal puede decretar la suspensión de la obra como medida urgente antes de resolver el fondo.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_IV,De los interdictos posesorios,2
"Los juicios de arrendamiento de predios urbanos se tramitan como juicio ordinario.",false,"Ley 18.101: se tramitan como juicio SUMARIO con modificaciones. No como juicio ordinario.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_VI,Del juicio de arrendamiento,1
"El arrendador necesita 2 meses de anticipación para desahuciar en arrendamientos mes a mes.",true,"Art. 3 Ley 18.101: 2 meses para el arrendador. El arrendatario solo necesita 1 período de pago (1 mes).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_VI,Del juicio de arrendamiento,2
"El arrendatario puede enervar la acción de desahucio por no pago pagando las rentas dentro de 10 días.",true,"Art. 10 Ley 18.101: derecho a enervar pagando rentas + costas en 10 días desde la notificación. Solo puede ejercerse una vez.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_VI,Del juicio de arrendamiento,2
"En el juicio de arrendamiento procede libremente la reconvención sobre cualquier materia.",false,"Ley 18.101: la reconvención NO procede como regla general. Solo se admite para el cobro de rentas adeudadas.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_VI,Del juicio de arrendamiento,2
"La reconvención en el juicio sumario solo procede si puede tramitarse también sumariamente.",true,"Art. 690 CPC: la reconvención en el sumario requiere que la acción reconvencional sea susceptible de tramitación sumaria.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_XI,Del juicio sumario,2
