termino,definicion,rama,libro,titulo,materia,dificultad
"Asignaciones forzosas","Las que el testador es obligado a hacer y que se suplen cuando no las ha hecho, aun con perjuicio de sus disposiciones testamentarias. Son: alimentos legales, legítimas y cuarta de mejoras (art. 1167 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,1
"Legítima","Cuota de los bienes del difunto que la ley asigna a los legitimarios (hijos, ascendientes, cónyuge). Es asignación forzosa que el testador debe respetar (art. 1181 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,1
"Mitad legitimaria","La mitad del acervo líquido destinada a los legitimarios. Se distribuye según las reglas de la sucesión intestada (art. 1184 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,1
"Cuarta de mejoras","La cuarta parte del acervo que el testador puede asignar a uno o más de sus descendientes, ascendientes o cónyuge. No es de libre disposición (art. 1195 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,1
"Cuarta de libre disposición","La cuarta parte del acervo de que el testador puede disponer a su arbitrio, a favor de cualquier persona, sea o no legitimario (art. 1184 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,1
"Legítima rigorosa","Porción que corresponde a cada legitimario dentro de la mitad legitimaria, calculada según las reglas de sucesión intestada. No admite condiciones ni gravámenes (arts. 1184, 1192 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,2
"Legítima efectiva","La legítima rigorosa incrementada con la parte de la cuarta de mejoras y libre disposición de que el testador no dispuso (art. 1191 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,2
"Acervo imaginario","Mecanismo de protección de los legitimarios contra donaciones excesivas. Se acumulan al acervo las donaciones hechas en vida, sea a legitimarios (1er acervo, art. 1185) o a terceros (2º acervo, art. 1186).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,3
"Desheredamiento","Disposición testamentaria que priva total o parcialmente a un legitimario de su legítima. Requiere causal legal, expresión en testamento y prueba judicial de los hechos (art. 1207 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,1
"Acción de reforma del testamento","Acción que compete a los legitimarios perjudicados para que se modifique el testamento respetando sus legítimas y mejoras. Prescribe en 4 años (art. 1216 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,2
"Acción de inoficiosa donación","Acción para rescindir donaciones hechas a terceros que exceden la cuarta de libre disposición y perjudican las legítimas (art. 1187 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,3
"Colación o imputación","Obligación del legitimario que recibió donaciones del causante de imputarlas a su legítima, evitando que reciba más que los demás legitimarios.",DERECHO_CIVIL,LIBRO_III,TITULO_V,De las asignaciones forzosas,3
