pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La compraventa según el art. 1793 CC es un contrato en que:","Una parte se obliga a dar una cosa y la otra a pagarla en dinero","Una parte transfiere el dominio de una cosa a la otra","Ambas partes intercambian cosas de igual valor","Una parte presta una cosa y la otra la devuelve",0,"Art. 1793 CC: la compraventa genera OBLIGACIONES (dar cosa / pagar precio). No transfiere dominio directamente: eso lo hace la tradición.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"La compraventa de un inmueble se perfecciona por:","Escritura pública (solemne)","El solo consentimiento (consensual)","La entrega del inmueble (real)","La inscripción en el CBR",0,"Art. 1801 CC: la compraventa de inmuebles requiere escritura pública como solemnidad. La inscripción en el CBR es la tradición (modo), no el perfeccionamiento del contrato.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"La compraventa es título o modo de adquirir el dominio?","Título: es el antecedente jurídico; la tradición es el modo","Modo: transfiere dominio directamente","Ambos: título y modo a la vez","Ninguno: es solo un acuerdo preliminar",0,"En el sistema chileno (título + modo), la compraventa es título. La tradición (entrega en muebles, inscripción CBR en inmuebles) es el modo de adquirir.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"La venta de cosa ajena según el art. 1815 CC:","Vale, sin perjuicio de los derechos del verdadero dueño","Es nula de nulidad absoluta","Es nula de nulidad relativa","Es inexistente por falta de objeto",0,"Art. 1815 CC: la venta de cosa ajena vale. El comprador no adquiere dominio (el vendedor no lo tenía) pero el contrato es válido. El dueño puede reivindicar.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Las obligaciones del vendedor son:","Entregar la cosa, sanear la evicción y sanear los vicios redhibitorios","Solo entregar la cosa vendida","Entregar la cosa y transferir el dominio expresamente","Entregar la cosa y pagar los impuestos de la venta",0,"Arts. 1824, 1838, 1857 CC: tres obligaciones del vendedor: entrega + saneamiento de evicción + saneamiento de vicios ocultos.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"La evicción es:","La privación total o parcial de la cosa comprada por sentencia judicial y por causa anterior a la venta","El incumplimiento del pago del precio por el comprador","La destrucción de la cosa vendida por caso fortuito","La resolución del contrato por mutuo acuerdo",0,"Art. 1838 CC: evicción = privación por sentencia judicial + causa anterior a la venta. El vendedor debe defender en juicio e indemnizar.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Los vicios redhibitorios deben reunir tres requisitos según el art. 1858 CC:","Existir al tiempo de la venta, ser graves y ser ocultos","Ser conocidos por el vendedor, ser graves y posteriores a la venta","Existir al tiempo de la venta, ser leves y ser aparentes","Haber sido declarados en el contrato y ser reparables",0,"Art. 1858 CC: tres requisitos copulativos: 1) existir al tiempo de la venta, 2) graves (impropia para su uso), 3) ocultos (no conocidos ni fácilmente detectables).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"La acción redhibitoria prescribe en:","6 meses para muebles y 1 año para inmuebles","1 año para muebles y 2 años para inmuebles","4 años para ambos","No prescribe",0,"Art. 1866 CC: acción redhibitoria = 6 meses muebles / 1 año inmuebles. Acción quanti minoris = 1 año muebles / 18 meses inmuebles.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"La lesión enorme en la compraventa solo procede en:","Ventas de inmuebles (no en muebles, ni remates judiciales, ni minas)","Cualquier compraventa sin distinción","Ventas de muebles de alto valor","Ventas entre parientes",0,"Art. 1891 CC: la lesión enorme no aplica en muebles, ventas hechas por ministerio de la justicia ni de minas. Solo en inmuebles.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"Hay lesión enorme para el vendedor cuando:","El precio recibido es inferior a la mitad del justo precio de la cosa","El precio recibido es inferior al justo precio","El comprador no paga dentro del plazo","La cosa vendida tiene vicios ocultos",0,"Art. 1889 CC: vendedor sufre lesión si el precio es inferior a la mitad del justo precio. Ej: justo precio $100M, vendido en $40M → lesión enorme.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"El demandado por lesión enorme puede evitar la rescisión:","Completando el justo precio (comprador) o restituyendo el exceso (vendedor), con deducción de una décima parte","Pagando una multa equivalente al 10% del precio","Solo aceptando la rescisión sin alternativa","Pidiendo un nuevo avalúo al tribunal",0,"Art. 1890 CC: el demandado tiene la opción de consentir en la rescisión o completar/restituir hasta el justo precio con deducción de 1/10.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,3
"El riesgo de la cosa vendida según el art. 1820 CC pertenece:","Al comprador desde la celebración del contrato (res perit creditori)","Al vendedor hasta la entrega material","Siempre al vendedor hasta la inscripción","A ambas partes por mitades",0,"Art. 1820 CC: regla especial de la compraventa. Aunque no se haya entregado, el riesgo es del comprador. Excepción: venta condicional.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"¿Puede celebrarse compraventa entre cónyuges no separados judicialmente?","No, está prohibida por el art. 1796 CC","Sí, sin restricción alguna","Solo si el juez lo autoriza","Solo si se hace ante notario",0,"Art. 1796 CC: incapacidad especial. Tampoco pueden celebrar compraventa padre/madre con hijo bajo patria potestad (art. 1797).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"El precio en la compraventa debe ser:","En dinero, real, serio y determinado o determinable","En cualquier cosa de valor","Fijado por el juez si las partes no acuerdan","Equivalente exactamente al valor de la cosa",0,"El precio debe: 1) ser en dinero (si es cosa = permuta), 2) real y serio (no ficticio), 3) determinado o determinable (por las partes o un tercero, art. 1808).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
