pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Los medios de prueba del art. 341 CPC son:","Instrumentos, testigos, confesión, inspección personal, informe de peritos y presunciones","Solo testigos y documentos","Solo instrumentos y confesión","Los que el juez estime convenientes sin limitación",0,"Art. 341 CPC: seis medios taxativos. En el sistema de prueba legal tasada del CPC, solo estos medios son admisibles.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De los medios de prueba,1
"El instrumento público hace plena fe:","En cuanto al hecho de haberse otorgado, su fecha y las declaraciones del funcionario (art. 1700 CC)","Solo respecto de las partes","Solo si está inscrito en un registro público","Solo durante los primeros 5 años",0,"Art. 1700 CC: hace plena fe respecto de todos (erga omnes) en cuanto al otorgamiento, fecha y declaraciones del funcionario.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,2
"Un instrumento privado adquiere valor probatorio cuando:","Es reconocido expresa, tácita o judicialmente (art. 346 CPC)","Se presenta ante el tribunal sin más trámite","Lo firma un abogado","Se inscribe en el registro civil",0,"Art. 346 CPC: tres formas de reconocimiento. Tácito: no se objeta dentro de 6° día desde que se acompaña bajo apercibimiento del art. 346 Nº 3.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,2
"El instrumento privado no objetado dentro de 6° día desde que se acompaña bajo apercibimiento:","Se tiene por reconocido tácitamente (art. 346 Nº 3 CPC)","Pierde todo valor probatorio","Debe ser autenticado por notario","Se devuelve a la parte que lo presentó",0,"Art. 346 Nº 3 CPC: el apercibimiento legal es que si no se objeta en 6 días, se tiene por reconocido. Es la forma más común de reconocimiento.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,2
"Dos testigos contestes, no tachados, legalmente examinados y que dan razón de sus dichos:","Constituyen plena prueba (art. 384 Nº 2 CPC)","Constituyen solo semiplena prueba","No tienen valor si no hay documento que los respalde","Solo sirven como presunción judicial",0,"Art. 384 Nº 2 CPC: es la regla de valoración de la prueba testimonial en el sistema de prueba legal tasada.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba testimonial,2
"El máximo de testigos por cada punto de prueba es:","6 testigos (art. 372 CPC)","10 testigos","3 testigos","Sin límite",0,"Art. 372 CPC: máximo 6 por cada punto de prueba fijado en el auto de prueba. La lista se presenta en los 5 primeros días del probatorio.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba testimonial,2
"Si la parte citada a absolver posiciones no comparece sin causa justificada:","Se le tiene por confesa respecto de los hechos categóricamente afirmados en el pliego (art. 394 CPC)","No tiene consecuencia procesal","Se suspende el juicio hasta que comparezca","Se le impone una multa pero no se le tiene por confesa",0,"Art. 394 CPC: confesión ficta. La incomparecencia injustificada produce el efecto de tener por confesos los hechos del pliego. También si da respuestas evasivas.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la confesión de parte,2
"La confesión judicial sobre hechos personales del confesante produce:","Plena prueba contra el confesante (art. 1713 CC)","Solo semiplena prueba","Prueba solo si hay otros medios que la respalden","Ningún valor probatorio",0,"Art. 1713 CC: la confesión judicial es el medio de prueba de mayor valor. Produce plena prueba y no admite prueba en contrario, salvo error de hecho.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la confesión de parte,2
"La inspección personal del tribunal constituye:","Plena prueba respecto de los hechos materiales que el juez constata personalmente (art. 408 CPC)","Solo una presunción judicial","Semiplena prueba que debe complementarse","Prueba solo si las partes la solicitan",0,"Art. 408 CPC: el juez percibe directamente los hechos. Es prueba directa con valor de plena prueba respecto de circunstancias materiales.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la inspección personal del tribunal,2
"El informe de peritos se valora según:","Las reglas de la sana crítica (art. 425 CPC)","El sistema de prueba legal tasada","La libre convicción del juez","El acuerdo de las partes",0,"Art. 425 CPC: excepción al sistema general de prueba tasada. El juez valora el peritaje con lógica, experiencia y conocimientos científicos.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,Del informe de peritos,2
