pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué son las actuaciones judiciales?","Actos jurídicos procesales realizados por o ante el tribunal, de los cuales se deja constancia escrita en el proceso. Deben practicarse en días y horas hábiles, ser autorizadas por un ministro de fe y constar en el expediente (arts. 59-61 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,1
"¿Cuáles son los requisitos generales de las actuaciones judiciales?","1) Practicarse en días y horas hábiles (art. 59), 2) Ser autorizadas por un ministro de fe (art. 61), 3) Dejarse constancia escrita en el proceso, 4) Practicarse por el funcionario competente.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,1
"¿Cuáles son los días y horas hábiles según el art. 59 CPC?","Días hábiles: todos los no feriados. Horas hábiles: de 8:00 a 20:00 horas. El tribunal puede, a solicitud de parte, habilitar días y horas inhábiles para actuaciones urgentes.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,1
"¿Quiénes son ministros de fe para autorizar actuaciones judiciales?","Secretarios del tribunal, receptores judiciales, notarios y otros funcionarios que la ley determine. Sin autorización del ministro de fe, la actuación carece de valor (art. 61 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,2
"¿Qué es el receptor judicial?","Ministro de fe encargado de practicar las notificaciones personales y por cédula, de efectuar embargos y remates, de recibir prueba testimonial fuera del tribunal y otras diligencias ordenadas por el tribunal.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,2
"¿Qué son los exhortos o cartas rogatorias según el art. 71 CPC?","Comunicaciones que un tribunal envía a otro de igual o distinta jerarquía para que practique u ordene practicar actuaciones judiciales fuera de su territorio jurisdiccional. El tribunal que remite se llama exhortante; el que recibe, exhortado.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,2
"¿Cuándo procede la habilitación de días y horas inhábiles?","Cuando hay causa urgente que lo exija. El art. 60 CPC permite al tribunal habilitar días y horas inhábiles para la práctica de actuaciones judiciales. También son hábiles las notificaciones personales (art. 41 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,2
"¿Qué es un plazo procesal?","Espacio de tiempo fijado por la ley, el juez o las partes para el ejercicio de un derecho o la realización de un acto procesal dentro del juicio. Art. 64 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,1
"¿Cómo se clasifican los plazos procesales según su origen?","1) Legales: fijados por la ley (ej: 15 días para contestar demanda), 2) Judiciales: fijados por el juez cuando la ley lo autoriza (ej: plazo para cumplir medida), 3) Convencionales: fijados por acuerdo de las partes (art. 328 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,1
"¿Qué es un plazo fatal?","El que por su solo vencimiento extingue el derecho que debió ejercitarse dentro de él. Art. 64 CPC: los plazos que señala el CPC son fatales, cualquiera sea la forma en que se exprese, salvo los establecidos para el tribunal.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,1
"¿Los plazos del CPC son fatales o no fatales?","Los plazos del CPC para las PARTES son fatales como regla general (art. 64 inc. 1). Los plazos para el TRIBUNAL (plazos judiciales) NO son fatales: su vencimiento no extingue la facultad del juez.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,2
"¿Cómo se computan los plazos de días según el CPC?","Los plazos de días del CPC se entienden SUSPENDIDOS durante los feriados (días hábiles, art. 66). Es decir, los plazos procesales del CPC son de días hábiles, no corridos.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,1
"¿Qué es un plazo individual y uno común?","Individual: corre separadamente para cada parte desde su notificación (regla general). Común: corre para todas las partes conjuntamente desde la última notificación (ej: término probatorio, art. 327 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,2
"¿Qué es un plazo prorrogable e improrrogable?","Prorrogable: puede extenderse más allá de su vencimiento original (solo los plazos judiciales pueden prorrogarse). Improrrogable: no puede extenderse (los plazos legales son improrrogables, art. 67 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,2
