pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"El embargo de un inmueble debe inscribirse en el CBR para:","Ser oponible a terceros","Perfeccionar el embargo","Constituir el título ejecutivo","Transferir el dominio al acreedor",0,"Art. 453 CPC: sin inscripción, el embargo no es oponible a terceros que compren el inmueble de buena fe. La inscripción es medida de publicidad.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del embargo,2
"El orden de prelación para embargar bienes es:","1° dinero, 2° muebles, 3° inmuebles","1° inmuebles, 2° muebles, 3° dinero","Solo inmuebles pueden embargarse","No existe orden de prelación",0,"Art. 449 CPC: se embarga primero dinero (satisface directamente), luego muebles (más fáciles de realizar), luego inmuebles.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del embargo,2
"La ampliación del embargo procede cuando:","Los bienes embargados son insuficientes para cubrir la deuda, intereses y costas (art. 456 CPC)","El ejecutante quiere embargar todos los bienes del deudor","El tribunal lo decreta de oficio siempre","Solo al inicio del juicio",0,"Art. 456 CPC: la ampliación busca asegurar que haya bienes suficientes. Puede pedirse en cualquier estado del juicio.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del embargo,2
"La sustitución del embargo permite al ejecutado:","Reemplazar los bienes embargados por dinero suficiente (art. 457 CPC)","Reemplazar bienes muebles por inmuebles","Evitar el embargo sin pagar","Designar un nuevo depositario",0,"Art. 457 CPC: el ejecutado puede ofrecer dinero en reemplazo de los bienes. No procede si lo embargado es la especie debida.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del embargo,2
"Para el remate de inmuebles se requiere publicar:","4 avisos en un diario, con al menos 15 días entre el último y el remate (art. 489 CPC)","1 aviso con 30 días de anticipación","Solo notificación a las partes","Publicación en el Diario Oficial",0,"Art. 489 CPC: 4 avisos + 15 días mínimo entre último aviso y remate. Garantiza publicidad para atraer postores.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De la realización de bienes,2
"La postura mínima en el remate de inmuebles es:","Dos tercios (2/3) del avalúo (art. 493 CPC)","La mitad del avalúo","El valor total del avalúo","No hay postura mínima",0,"Art. 493 CPC: el mínimo es 2/3 del avalúo. Si no hay postores, se puede pedir un segundo remate con rebaja o adjudicación al acreedor por los 2/3.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De la realización de bienes,2
"Las cuatro tercerías del juicio ejecutivo son:","Dominio, posesión, prelación y pago","Solo dominio y posesión","Solo prelación y pago","Dominio, evicción, prelación y pago",0,"Arts. 518-529 CPC: cuatro tipos taxativos de intervención de terceros en el juicio ejecutivo.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De las tercerías,1
"La tercería de dominio la interpone:","Un tercero que alega ser dueño del bien embargado","El ejecutado para recuperar sus bienes","El ejecutante para ampliar el embargo","El depositario para renunciar al cargo",0,"Art. 518 CPC: el tercerista es ajeno al juicio. Alega que el bien embargado es SUYO, no del ejecutado.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De las tercerías,1
"La tercería de prelación la interpone:","Un tercero acreedor que alega tener crédito preferente al del ejecutante","El ejecutado para pagar primero sus deudas preferentes","El tribunal para ordenar los pagos","Un familiar del ejecutado",0,"Art. 518 CPC: el tercerista tiene un crédito de clase superior (ej: hipotecario vs. valista) y quiere pagarse primero.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De las tercerías,2
"Las tercerías de dominio y posesión se tramitan como:","Juicio ordinario (incidental) en cuaderno separado (art. 521 CPC)","Incidentes de 3 días","Recurso de apelación","Juicio sumario",0,"Art. 521 CPC: tramitación como juicio ordinario porque discuten cuestiones de fondo (propiedad o posesión) que requieren prueba completa.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De las tercerías,2
"Las tercerías de prelación y pago se tramitan como:","Incidentes del juicio ejecutivo (art. 524 CPC)","Juicio ordinario completo","Recurso de casación","Gestión preparatoria",0,"Art. 524 CPC: tramitación incidental (3 días traslado + 8 días prueba) porque son más simples: solo discuten preferencia o concurrencia.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De las tercerías,2
"La tercería de dominio puede suspender el remate cuando:","El tercero acompaña instrumento público o auténtico que haga verosímil su dominio (art. 523 CPC)","Siempre que se interpone","Solo si el ejecutante lo consiente","Nunca: el remate siempre continúa",0,"Art. 523 CPC: solo con instrumento público o auténtico verosímil. Sin esto, el remate continúa pese a la tercería pendiente.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De las tercerías,2
"Si no hay postores en el primer remate de un inmueble, el acreedor puede:","Pedir adjudicación por los 2/3 del avalúo, o solicitar segundo remate con rebaja del mínimo","Solo esperar 6 meses para un nuevo remate","Embargar otros bienes únicamente","Dar por terminado el juicio",0,"Art. 499 CPC: tres opciones para el acreedor ante la falta de postores. Puede incluso pedir remate sin mínimo en último caso.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De la realización de bienes,2
"El depositario de bienes embargados tiene la obligación de:","Conservar los bienes y rendir cuenta de su administración","Vender los bienes inmediatamente","Pagar la deuda del ejecutado","Actuar como abogado del ejecutado",0,"El depositario es custodio. Debe conservar los bienes como buen padre de familia y rendir cuenta cuando se lo requieran.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del embargo,2
"Los bienes muebles embargados se realizan mediante:","Venta en martillo (remate público) por martillero designado por el tribunal","Venta directa al ejecutante","Donación a una institución","Subasta solo ante notario",0,"Art. 482 CPC: los muebles se venden en martillo. Las partes pueden acordar otra forma de venta (art. 497). Los inmuebles se rematan ante el tribunal.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De la realización de bienes,2
"La tercería de pago procede cuando:","Los bienes del ejecutado son insuficientes y el tercero acreedor quiere concurrir a prorrata","El tercero quiere ser pagado antes que el ejecutante","El tercero alega ser dueño del bien","El ejecutado ofrece pagar al tercero",0,"Art. 518 CPC: tercería de pago = crédito de igual clase (sin preferencia). Concurre a prorrata con el ejecutante sobre el producto del remate.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De las tercerías,2
"El reembargo de bienes ya embargados en otro juicio:","Es posible: el embargo no confiere derecho exclusivo al ejecutante","Está prohibido por el CPC","Solo procede con autorización del primer juez","Solo si el primer embargo se alza",0,"El embargo no da preferencia. Los bienes pueden ser embargados en múltiples juicios. La prelación se rige por el derecho sustantivo (clases de créditos).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del embargo,3
"La tasación de un inmueble para el remate se hace por:","Avalúo fiscal vigente, salvo que el ejecutado pida tasación pericial (art. 486 CPC)","Solo por avalúo del ejecutante","Solo por perito designado siempre","Acuerdo entre las partes",0,"Art. 486 CPC: regla general = avalúo fiscal. El ejecutado puede pedir que se tase pericialmente si el avalúo fiscal es injusto.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De la realización de bienes,2
"La escritura pública de remate de inmueble es otorgada por:","El juez como representante legal del ejecutado (art. 497 CPC)","El ejecutado personalmente","El martillero público","El notario de oficio",0,"Art. 497 CPC: el juez actúa como representante legal del vendedor (ejecutado). Firma la escritura pública de compraventa a favor del subastador.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,De la realización de bienes,2
