pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué es el juicio ejecutivo?","Procedimiento compulsivo por el cual el acreedor que posee un título ejecutivo puede obtener el cumplimiento forzado de una obligación de dar, hacer o no hacer. Es un juicio de ejecución, no de declaración.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Cuáles son los requisitos para que proceda el juicio ejecutivo de obligaciones de dar?","1) Título ejecutivo (art. 434), 2) Obligación líquida (determinada o determinable), 3) Obligación actualmente exigible (no sujeta a plazo ni condición pendiente), 4) Acción ejecutiva no prescrita (3 años, art. 2515 CC).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Qué es un título ejecutivo?","Documento al cual la ley le atribuye la suficiencia necesaria para exigir el cumplimiento forzado de la obligación contenida en él. Son taxativos: solo los enumerados en el art. 434 CPC u otras leyes.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Cuáles son los títulos ejecutivos del art. 434 CPC?","1) Sentencia firme o que causa ejecutoria, 2) Copia autorizada de escritura pública, 3) Acta de avenimiento pasada ante tribunal competente, 4) Instrumento privado reconocido o mandado tener por reconocido, 5) Confesión judicial, 6) Cualquiera otro a que las leyes otorguen mérito ejecutivo (ej: pagaré, cheque, letra de cambio).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Qué es una gestión preparatoria de la vía ejecutiva?","Procedimiento previo al juicio ejecutivo que permite crear o completar un título ejecutivo cuando no se cuenta con uno perfecto. Ej: reconocimiento de firma, confesión de deuda, notificación de protesto, avaluación por perito.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Cuáles son las principales gestiones preparatorias?","1) Reconocimiento de firma puesta en instrumento privado (art. 435), 2) Confesión de deuda (art. 435), 3) Notificación judicial de protesto de letra, pagaré o cheque (art. 434 Nº 4), 4) Avaluación por perito cuando la deuda es en especie (art. 438), 5) Notificación del título ejecutivo al heredero.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Qué ocurre si en la gestión de reconocimiento de firma el deudor no comparece o da respuestas evasivas?","Se tiene por reconocida la firma (art. 435 CPC). Es una sanción similar a la confesión ficta: el silencio o la evasiva equivalen a reconocimiento. El instrumento adquiere mérito ejecutivo.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Qué es la demanda ejecutiva?","Escrito por el cual el acreedor ejecutante solicita al tribunal que despache mandamiento de ejecución y embargo contra el deudor ejecutado. Debe acompañar el título ejecutivo y cumplir requisitos del art. 254 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Qué resolución dicta el tribunal al acoger la demanda ejecutiva?","El mandamiento de ejecución y embargo (art. 443 CPC). Es una sentencia interlocutoria que ordena: 1) requerir de pago al deudor, 2) si no paga, embargar bienes suficientes.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Qué contiene el mandamiento de ejecución y embargo según el art. 443 CPC?","1) Orden de requerir de pago al deudor, 2) Orden de embargar bienes suficientes si no paga en el acto, 3) Designación de depositario provisional. Puede contener además la orden de auxilio de fuerza pública.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Qué es el requerimiento de pago?","Actuación judicial por la cual el receptor notifica al deudor la demanda ejecutiva y el mandamiento, intimándolo a pagar en el acto. Si paga, termina el juicio. Si no paga, se procede al embargo de bienes.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿En qué plazo prescribe la acción ejecutiva?","En 3 años contados desde que la obligación se hizo exigible (art. 2515 CC). Prescrita la acción ejecutiva, subsiste como acción ordinaria por 2 años más (total 5 años).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Qué plazo tiene el ejecutado para oponer excepciones?","4 días fatales desde el requerimiento de pago si este se practica dentro de la comuna del tribunal. Si es fuera de la comuna pero dentro del territorio: 4 + 4 = 8 días. Si es fuera del territorio: 4 + 8 = hasta 12 días (art. 459-462 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Cuáles son las excepciones del juicio ejecutivo según el art. 464 CPC?","Son taxativas (18 excepciones): 1) Incompetencia, 2) Falta de capacidad, 3) Litis pendencia, 4) Ineptitud del libelo, 5) Beneficio de excusión, 6) Falsedad del título, 7) Falta de requisito para título ejecutivo, 8-18) Pago, prescripción, cosa juzgada, transacción, nulidad, exceso, etc.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Las excepciones del art. 464 CPC son taxativas?","Sí. A diferencia del juicio ordinario, donde las perentorias son abiertas, en el ejecutivo las excepciones son TAXATIVAS: solo las 18 enumeradas en el art. 464 CPC. No pueden invocarse otras.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Qué es la excepción de falsedad del título (art. 464 Nº 6)?","Que el título ejecutivo es falso: ha sido adulterado o no fue otorgado por quien aparece suscribiéndolo. Ataca la autenticidad del documento.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Qué es la excepción de falta de alguno de los requisitos para que el título tenga fuerza ejecutiva (art. 464 Nº 7)?","Que al título le falta algún requisito: no es título ejecutivo, la obligación no es líquida, no es actualmente exigible, o la acción está prescrita. Es la excepción más amplia.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Qué es la excepción de pago de la deuda (art. 464 Nº 9)?","El ejecutado alega que ya pagó la obligación contenida en el título ejecutivo. Debe acreditar el pago con antecedente escrito.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"¿Qué es la excepción de prescripción de la acción ejecutiva (art. 464 Nº 17)?","Que han transcurrido más de 3 años desde que la obligación se hizo exigible (art. 2515 CC). La acción ejecutiva prescrita subsiste como ordinaria por 2 años más.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Qué ocurre si el ejecutado no opone excepciones?","El tribunal dicta sentencia definitiva condenatoria de pago (sentencia de pago) sin más trámite. Se omite la fase de discusión y prueba (art. 472 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Qué es la sentencia de pago?","La que se dicta cuando no se oponen excepciones o cuando estas son rechazadas. Ordena seguir adelante con la ejecución hasta el pago completo al acreedor (art. 472 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
