pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué es la compraventa según el art. 1793 CC?","Contrato en que una de las partes se obliga a dar una cosa y la otra a pagarla en dinero. Aquella se dice vender y esta comprar. El dinero que el comprador da por la cosa vendida se llama precio.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"¿Cuáles son las características de la compraventa?","1) Bilateral (ambas partes se obligan), 2) Oneroso (utilidad para ambas), 3) Conmutativo (prestaciones equivalentes), 4) Principal (subsiste por sí mismo), 5) Consensual en muebles / Solemne en inmuebles (escritura pública, art. 1801).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"¿Cuáles son los elementos esenciales de la compraventa?","1) Consentimiento de las partes, 2) Cosa vendida (determinada, existente o que se espera que exista, comerciable, que no pertenezca al comprador), 3) Precio (en dinero, real, serio y determinado o determinable).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"¿La compraventa de inmuebles es consensual o solemne?","Solemne. El art. 1801 CC exige escritura pública para la compraventa de inmuebles, servidumbres, censos y sucesión hereditaria. Sin escritura pública, el contrato es nulo (nulidad absoluta).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"¿La compraventa transfiere el dominio?","No. La compraventa es solo el TÍTULO (antecedente jurídico). La TRADICIÓN es el modo de adquirir. En muebles: la entrega material. En inmuebles: la inscripción en el CBR (art. 686 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"¿Puede venderse cosa ajena según el art. 1815 CC?","Sí. La venta de cosa ajena vale, sin perjuicio de los derechos del dueño de la cosa vendida, mientras no se extingan por prescripción. El verdadero dueño puede reivindicar.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"¿Cuáles son las obligaciones del vendedor?","1) Entregar la cosa vendida (art. 1824), 2) Saneamiento de la evicción (art. 1838): amparar al comprador en el dominio y posesión pacífica, 3) Saneamiento de vicios redhibitorios (art. 1857): garantizar que la cosa no tiene vicios ocultos.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"¿Qué es la obligación de entrega del vendedor?","La obligación de poner la cosa vendida a disposición del comprador. En muebles: entrega material o simbólica. En inmuebles: inscripción en el CBR + entrega material.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,1
"¿Qué es la evicción según el art. 1838 CC?","La privación que sufre el comprador de todo o parte de la cosa comprada, por sentencia judicial, por causa anterior a la venta. El vendedor debe defender al comprador en juicio y, si pierde, indemnizarlo.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
"¿Qué comprende la obligación de saneamiento de la evicción?","Dos obligaciones: 1) Defender al comprador en juicio (obligación de hacer: citar de evicción al vendedor), 2) Si el comprador es evicto: indemnizar (obligación de dar: restituir precio + perjuicios).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIII,De la compraventa,2
