termino,definicion,rama,libro,titulo,materia,dificultad
"Esponsales","La promesa de matrimonio mutuamente aceptada. Es un hecho privado que no produce obligación civil alguna (art. 98 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_III,De los esponsales,1
"Matrimonio","Contrato solemne por el cual un hombre y una mujer se unen actual e indisolublemente, y por toda la vida, con el fin de vivir juntos, de procrear, y de auxiliarse mutuamente (art. 102 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"Impedimentos dirimentes absolutos","Prohibiciones que impiden a una persona contraer matrimonio con cualquier otra. Su infracción acarrea nulidad. Ej: vínculo matrimonial no disuelto, menor de 16 años, privación del uso de razón (art. 5 Ley 19.947).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"Impedimentos dirimentes relativos","Prohibiciones que impiden a una persona contraer matrimonio solo con determinadas personas. Ej: parentesco por consanguinidad en línea recta o entre hermanos (art. 6 Ley 19.947).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"Impedimentos impedientes","Prohibiciones cuya infracción NO acarrea nulidad del matrimonio, sino sanciones civiles distintas. Ej: falta de consentimiento de padres para menores de 18 (arts. 105-114 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"Matrimonio putativo","Matrimonio nulo celebrado ante Oficial del Registro Civil que produce los mismos efectos que el válido respecto del cónyuge que de buena fe y con justa causa de error lo contrajo (art. 51 Ley 19.947).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"Capitulaciones matrimoniales","Convenciones de carácter patrimonial que celebran los esposos antes del matrimonio o en el acto de su celebración (art. 1715 CC). Permiten pactar régimen de separación de bienes o participación en los gananciales.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"Sociedad conyugal","Régimen patrimonial legal supletorio del matrimonio. Se forma de pleno derecho a falta de pacto en contrario. Genera una masa común de bienes administrada por el marido (art. 135 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"Separación judicial","Estado civil que resulta de la declaración judicial de separación. No disuelve el vínculo matrimonial pero autoriza a vivir separados y disuelve el régimen patrimonial (Ley 19.947).",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,1
"Divorcio","Causal de terminación del matrimonio declarada por sentencia judicial firme. Opera hacia el futuro y habilita a los ex cónyuges para contraer nuevo matrimonio (art. 53 Ley 19.947).",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,1
"Compensación económica","Derecho del cónyuge que durante el matrimonio no pudo desarrollar actividad remunerada o lo hizo en menor medida por dedicarse al hogar o hijos, a recibir una prestación del otro al divorcio o nulidad (arts. 61-66 Ley 19.947).",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,2
"Acuerdo completo y suficiente","Acuerdo que deben acompañar los cónyuges que solicitan divorcio de común acuerdo, regulando alimentos, bienes, cuidado de hijos y relación directa y regular. Debe resguardar el interés superior de los hijos (art. 55 Ley 19.947).",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,2
