pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"El efecto relativo de las sentencias (art. 3 CC) significa que:","Solo tienen fuerza obligatoria en la causa en que se pronunciaron; no crean precedente vinculante general","Todas las sentencias son vinculantes para todos los habitantes","Solo las sentencias de la CS son vinculantes erga omnes","No tienen ningún efecto fuera del caso ni influencia alguna",0,"Art. 3 CC: efecto relativo. Pero la jurisprudencia REITERADA de la CS sí orienta la práctica judicial, aunque no sea formalmente vinculante.",DERECHO_CIVIL,CODIGO_CIVIL,TITULO_PRELIMINAR,Del efecto relativo,1
"La jurisprudencia en Chile:","No es formalmente vinculante pero tiene fuerza persuasiva significativa, especialmente la reiterada de la CS","Es vinculante como en el common law con stare decisis","No tiene ninguna importancia práctica en la decisión de los jueces","Solo importa la jurisprudencia del TC",0,"Sistema continental: no hay stare decisis formal. Pero los tribunales inferiores TIENDEN a seguir la CS para evitar que sus fallos sean casados.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del precedente,1
"La estructura de una sentencia definitiva según el art. 170 CPC incluye:","Parte expositiva (hechos) + considerativa (derecho) + resolutiva (decisión)","Solo la parte resolutiva con la decisión","Solo los hechos y la decisión sin fundamentación","Solo los considerandos jurídicos",0,"Art. 170 CPC + AA CS: tres partes obligatorias. La considerativa contiene la ratio decidendi y posibles obiter dicta.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la estructura,1
"El voto disidente es:","La opinión del ministro que está en desacuerdo con el RESULTADO de la mayoría del tribunal","Lo mismo que el voto de prevención","Un recurso procesal contra la sentencia","Una forma de apelación interna",0,"El disidente discrepa del resultado. Tiene valor doctrinario y puede anticipar futuros cambios de jurisprudencia.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del voto disidente,2
"El voto de prevención se diferencia del disidente en que:","El que previene CONCURRE con la mayoría en el resultado pero por RAZONES distintas","Es exactamente lo mismo que el voto disidente","Siempre está en contra de la mayoría","No se publica junto con la sentencia",0,"Prevención = mismo resultado, diferente fundamentación. Disidente = resultado diferente al de la mayoría.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del voto de prevencion,2
"El recurso de unificación de jurisprudencia procede en:","Materia laboral ante la CS cuando la CA contradice jurisprudencia anterior de la CS (art. 483 CT)","Todas las materias sin excepción","Solo materia civil y comercial","Solo materia penal",0,"Art. 483 CT: recurso específico del derecho laboral. Es el mecanismo más cercano al stare decisis que tiene Chile.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la unificacion,2
"Las sentencias del TC que declaran inconstitucionalidad:","Tienen efecto erga omnes: derogan la norma para todos (art. 94 CPR). Excepción al art. 3 CC","Solo tienen efecto relativo como las demás sentencias","No tienen ningún efecto vinculante","Solo vinculan al Presidente de la República",0,"Art. 94 CPR: la declaración de inconstitucionalidad (art. 93 N°7) produce la derogación de la norma. Efecto general.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del TC,2
"La diferencia entre inaplicabilidad e inconstitucionalidad en el TC es:","Inaplicabilidad: efecto para el caso concreto, la norma sigue vigente. Inconstitucionalidad: efecto erga omnes, la norma se deroga","Son lo mismo con nombres distintos","Ambas derogan la norma para todos","Ninguna tiene efecto vinculante",0,"Art. 93 N°6 CPR (inaplicabilidad: inter partes) vs. art. 93 N°7 CPR (inconstitucionalidad: erga omnes).",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del TC,3
"La doctrina jurídica se diferencia de la jurisprudencia en que:","La doctrina es opinión de autores sin fuerza vinculante; la jurisprudencia son sentencias con efecto relativo","Son lo mismo: opiniones sin valor normativo","La doctrina es más vinculante que la jurisprudencia","La jurisprudencia no tiene ningún valor práctico",0,"Doctrina = opinión académica (profesores, tratadistas). Jurisprudencia = decisiones judiciales con efectos entre partes.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De las fuentes,1
"El cambio de jurisprudencia (overruling) ocurre cuando:","La CS abandona un criterio interpretativo anterior y adopta uno nuevo, con fundamentación explícita","Un juez inferior contradice a la CS sin consecuencias","Se deroga una ley por el Congreso","El Presidente de la República lo ordena",0,"La CS no está obligada a seguir sus propios precedentes. Puede cambiar de criterio si lo fundamenta. No hay stare decisis.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del cambio,2
"Las máximas de experiencia en la valoración judicial son:","Reglas generales del conocimiento humano que el juez aplica para valorar la prueba, no son prueba ni norma","Pruebas documentales presentadas por las partes","Testimonios de peritos calificados","Presunciones legales establecidas en el Código",0,"No son prueba ni norma jurídica: son criterios de razonamiento del juez. Pilar de la sana crítica junto con lógica y ciencia.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la valoracion,2
"La prueba legal tasada se diferencia de la sana crítica en que:","En tasada la ley asigna valor predeterminado a cada prueba; en sana crítica el juez valora libremente con fundamentación","Son lo mismo con nombres distintos","La sana crítica no requiere fundamentación","La tasada solo existe en materia penal",0,"Tasada = CPC civil (ej: IP hace plena fe). Sana crítica = familia, laboral, penal (juez valora según lógica + experiencia + ciencia).",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la valoracion,2
"La casación en el fondo como mecanismo de unificación:","Permite a la CS fijar la correcta interpretación de la ley, uniformando de facto la jurisprudencia","Crea precedente formalmente vinculante para todos","Solo sirve para anular sentencias con vicios de forma","No tiene relación con la interpretación de la ley",0,"Art. 767 CPC: la CS fija la interpretación correcta. Aunque no crea precedente formal, los tribunales inferiores siguen el criterio para evitar casación.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la unificacion,3
"La citación APA para una sentencia chilena incluye:","Tribunal, Rol N°, fecha. Ej: CS, Rol N° 12.345-2024, 15 de marzo de 2025","Solo el nombre del juez redactor del fallo","Solo el número de rol sin identificar el tribunal","La editorial que publicó la sentencia",0,"Formato estándar: tribunal + rol + fecha permite identificar unívocamente cualquier sentencia chilena.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,CITACION,De la citacion APA,2
"La citación APA para doctrina jurídica chilena sigue el formato:","Apellido, Inicial (año). Título en cursiva. Editorial, página","Solo el nombre del libro sin autor","Solo el nombre del autor sin obra","Número de registro en la Biblioteca Nacional",0,"Ej: Orrego, J.A. (2020). Derecho Civil: Acto Jurídico. Editorial Metropolitana, p. 45.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,CITACION,De la citacion APA,2
"La interpretación judicial de la ley según el art. 3 CC:","Solo tiene efecto relativo: vincula a las partes del caso concreto, no a toda la población","Tiene efecto general y obligatorio para todos","Deroga la ley interpretada cuando la contradice","Nunca puede apartarse del tenor literal de la ley",0,"Art. 3 CC: solo el legislador interpreta la ley de modo generalmente obligatorio (interpretación auténtica mediante ley interpretativa).",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la interpretacion,2
"En El Diario, se otorga XP por:","LEER artículos (3 por semana = bonificación XP), no por publicar. Evita incentivar volumen sin calidad","Publicar la mayor cantidad de artículos posible","Solo por publicar en la Revista mensual","Por votar en Expedientes Abiertos exclusivamente",0,"Diseño deliberado: XP por lectura incentiva audiencia para los autores y diversifica la acumulación de puntos.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,INTEGRACION,De la integracion,2
"Las citas internas entre publicaciones de El Diario:","Crean red de conocimiento interconectado y son criterio de selección para la Revista mensual","No tienen ningún valor ni se contabilizan","Solo sirven como decoración visual","Restan puntos al autor citado",0,"Las citas internas miden impacto académico dentro de la plataforma. Más citas = mayor relevancia del artículo.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,REGLAS,De las citas internas,2
"La integración de El Diario con el simulacro oral permite:","Que el examinador IA cite artículos de El Diario para hacer preguntas contingentes","Que los estudiantes copien artículos como respuesta en el examen","Que el simulacro reemplace completamente las publicaciones","Que los profesores corrijan artículos de los estudiantes",0,"Ecosistema integrado: contenido generado por la comunidad enriquece la experiencia del simulacro oral con IA.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,INTEGRACION,De la integracion,2
