pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La sucesión por causa de muerte se abre según el art. 955 CC:","Al momento de la muerte del causante, en su último domicilio","Al momento de inscribir la posesión efectiva","Al dictar el juez la resolución de apertura","Al vencimiento del plazo de 15 días desde la muerte",0,"Art. 955 CC: la sucesión se abre al momento de la muerte, en el último domicilio del difunto. No requiere resolución judicial.",DERECHO_CIVIL,LIBRO_III,TITULO_I,Definiciones y reglas generales,1
"El heredero sucede al causante a título:","Universal, en todo el patrimonio o en una cuota de él","Singular, en bienes determinados","Parcial, solo en los bienes inmuebles","Condicional, según lo que determine el juez",0,"Art. 951 CC: el heredero sucede a título universal (todo o cuota del patrimonio). El legatario sucede a título singular (bienes determinados).",DERECHO_CIVIL,LIBRO_III,TITULO_I,Definiciones y reglas generales,1
"El legatario se diferencia del heredero en que:","Sucede en bienes determinados y no responde de las deudas hereditarias (salvo las que graven los bienes legados)","Sucede en todo el patrimonio del causante","Responde ilimitadamente por las deudas del causante","No puede aceptar ni repudiar el legado",0,"Art. 951 CC: el legatario = título singular = bienes determinados = no continuador jurídico = no responde de deudas generales.",DERECHO_CIVIL,LIBRO_III,TITULO_I,Definiciones y reglas generales,1
"La delación de una asignación según el art. 956 CC es:","El actual llamamiento de la ley a aceptarla o repudiarla","La inscripción de la posesión efectiva","El pago de los impuestos sucesorios","La publicación del testamento",0,"Art. 956 CC: delación = llamamiento a aceptar o repudiar. En asignaciones puras y simples ocurre al momento de la muerte; en condicionales, al cumplirse la condición.",DERECHO_CIVIL,LIBRO_III,TITULO_I,Definiciones y reglas generales,2
"El derecho de representación según el art. 984 CC:","Es una ficción legal por la cual se supone que una persona tiene el lugar y derechos de su padre o madre","Es el derecho del cónyuge sobreviviente a heredar","Es la facultad del testador de designar un sustituto","Es el derecho del acreedor a cobrar las deudas del causante",0,"Art. 984 CC: ficción legal en virtud de la cual los descendientes ocupan el lugar de su ascendiente que no quiso o no pudo suceder.",DERECHO_CIVIL,LIBRO_III,TITULO_II,Reglas relativas a la sucesión intestada,1
"El derecho de representación opera:","Solo en la sucesión intestada, en la descendencia del difunto y de sus hermanos","En toda sucesión, testada e intestada","Solo en la sucesión testada","Solo entre cónyuges",0,"Art. 984 CC: opera SOLO en la sucesión intestada. En la descendencia del difunto (hijos, nietos) y en la descendencia de los hermanos del difunto. No en ascendientes ni cónyuge.",DERECHO_CIVIL,LIBRO_III,TITULO_II,Reglas relativas a la sucesión intestada,2
"En el primer orden de sucesión intestada heredan:","Los hijos (personalmente o representados) y el cónyuge sobreviviente","Solo los hijos del difunto","Los padres y el cónyuge sobreviviente","Todos los parientes hasta el sexto grado",0,"Art. 988 CC: primer orden = hijos + cónyuge. El cónyuge recibe al menos una cuarta parte (o al menos lo de un hijo si hay muchos hijos).",DERECHO_CIVIL,LIBRO_III,TITULO_II,Reglas relativas a la sucesión intestada,1
"Si el causante muere sin hijos pero con cónyuge y padres vivos:","Heredan el cónyuge (2/3) y los padres (1/3) — segundo orden de sucesión","Hereda solo el cónyuge","Heredan solo los padres","Hereda el Fisco por no haber descendientes",0,"Art. 989 CC: segundo orden = ascendientes + cónyuge. Dos tercios para el cónyuge, un tercio para los ascendientes de grado más próximo.",DERECHO_CIVIL,LIBRO_III,TITULO_II,Reglas relativas a la sucesión intestada,2
"Los hermanos de doble conjunción respecto de los de simple conjunción:","Llevan el doble de porción hereditaria","Llevan la misma porción","Llevan la mitad","Excluyen totalmente a los de simple conjunción",0,"Art. 990 CC: en el tercer orden, los hermanos de doble conjunción (mismos padre y madre) llevan el doble que los de simple conjunción (solo un padre o madre común).",DERECHO_CIVIL,LIBRO_III,TITULO_II,Reglas relativas a la sucesión intestada,2
"El Fisco hereda como último heredero intestado:","A falta de todos los demás herederos abintestato (quinto orden)","Solo si el causante lo designó en testamento","Siempre recibe al menos el 10% de la herencia","Solo si no hay testamento",0,"Art. 995 CC: el Fisco es el último heredero en el orden de sucesión intestada. Hereda solo si no hay descendientes, ascendientes, cónyuge, hermanos ni colaterales hasta sexto grado.",DERECHO_CIVIL,LIBRO_III,TITULO_II,Reglas relativas a la sucesión intestada,1
"El beneficio de inventario según el art. 1247 CC permite al heredero:","Limitar su responsabilidad al valor de los bienes heredados","Escoger qué bienes hereda y cuáles no","Aplazar el pago de las deudas hereditarias por 5 años","Heredar solo bienes y no deudas",0,"Art. 1247 CC: con beneficio de inventario, el heredero responde de deudas solo hasta la concurrencia del valor de los bienes heredados. Sin él, responde ultra vires.",DERECHO_CIVIL,LIBRO_III,TITULO_I,Definiciones y reglas generales,2
"Las bajas generales de la herencia según el art. 959 CC incluyen:","Gastos de apertura, deudas hereditarias, impuestos y asignaciones alimenticias forzosas","Solo las deudas del causante","Solo los impuestos fiscales","Los legados y donaciones hechas en vida",0,"Art. 959 CC enumera 4 bajas: gastos de apertura (funeral, última enfermedad), deudas hereditarias, impuestos y asignaciones alimenticias forzosas. Se deducen del acervo ilíquido.",DERECHO_CIVIL,LIBRO_III,TITULO_I,Definiciones y reglas generales,2
