termino,definicion,rama,libro,titulo,materia,dificultad
"Juzgado de Garantía","Tribunal unipersonal que garantiza derechos del imputado en la investigación penal. Autoriza diligencias, decreta medidas cautelares, conoce del abreviado y simplificado (art. 14 COT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
"Tribunal de Juicio Oral en lo Penal (TOP)","Tribunal colegiado de 3 jueces que conoce del juicio oral penal. Principios: oralidad, inmediación, concentración, publicidad, contradicción. Sentencia por mayoría (art. 17 COT).",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,1
"Juzgado de Familia","Tribunal especializado en materias de familia: divorcio, alimentos, cuidado personal, adopción, VIF, protección de menores. Procedimiento oral con mediación obligatoria previa en ciertas materias (Ley 19.968).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,1
"Juzgado de Letras del Trabajo","Tribunal especializado en conflictos laborales. Procedimiento oral en dos audiencias (preparatoria + juicio). Conoce despidos, prestaciones, accidentes, tutela laboral (arts. 420-459 CT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,1
"Tribunal Tributario y Aduanero","Tribunal independiente del SII que conoce de reclamaciones tributarias y aduaneras. Creado por Ley 20.322 (2009). Garantiza imparcialidad separando juez de administración tributaria.",DERECHO_ORGANICO,COT,TITULO_III,De los Tribunales Tributarios y Aduaneros,1
"Sistema acusatorio","Modelo de proceso penal que separa las funciones de investigar (Ministerio Público), controlar (Juez de Garantía) y juzgar (TOP). Reemplazó al sistema inquisitivo (juez investigador y juzgador).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
"Recurso de nulidad","Recurso contra la sentencia del TOP por causales taxativas (vicios del juicio o infracción de derecho). Reemplaza a la apelación en el juicio oral penal (arts. 372-387 CPP).",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,2
"Mediación familiar","Proceso extrajudicial en que un mediador ayuda a las partes a llegar a acuerdo. Obligatoria en alimentos, cuidado personal y relación directa. No procede en VIF ni adopción (art. 106 Ley 19.968).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,2
"Tutela laboral","Procedimiento especial que protege derechos fundamentales del trabajador (intimidad, honra, no discriminación, libertad sindical). Incluye indicios con inversión de carga probatoria (art. 485 CT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"Procedimiento monitorio laboral","Procedimiento para causas laborales de menor cuantía (hasta 10 ingresos mínimos). El juez resuelve con la sola demanda; oposición genera audiencia única (art. 496 CT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"Administrador de tribunal","Profesional de gestión en tribunales de reforma (Garantía, TOP, Familia, Trabajo). Gestiona recursos humanos, materiales y financieros. Separa administración de jurisdicción.",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales especiales,2
"Juzgado de Cobranza Laboral","Tribunal ejecutivo especializado en cumplimiento forzado de sentencias laborales y cobro de cotizaciones previsionales impagas. Solo existe en comunas de alto volumen (art. 416 CT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
