termino,definicion,rama,libro,titulo,materia,dificultad
"Caución","Cualquier obligación que se contrae para la seguridad de otra obligación propia o ajena. Puede ser personal (fianza, solidaridad) o real (prenda, hipoteca) — art. 46 CC.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVI,De la fianza,1
"Fianza","Obligación accesoria en que un tercero (fiador) se compromete a cumplir si el deudor principal no cumple. Es caución personal, subsidiaria y consensual (art. 2335 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVI,De la fianza,1
"Beneficio de excusión","Derecho del fiador para exigir que se persigan primero los bienes del deudor principal. Manifestación de la subsidiariedad de la fianza. Renunciable (art. 2357 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVI,De la fianza,2
"Beneficio de división","Derecho de los cofiadores para que la deuda se divida entre ellos. Cada cofiador responde solo de su cuota (art. 2367 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVI,De la fianza,2
"Prenda civil","Contrato real en que se entrega una cosa mueble al acreedor para seguridad de su crédito. Confiere derecho real de retención, persecución, venta y preferencia (art. 2384 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVII,Del contrato de prenda,1
"Hipoteca","Derecho real constituido sobre inmuebles que permanecen en poder del deudor, para asegurar una obligación. Requiere escritura pública e inscripción CBR (art. 2407 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVIII,De la hipoteca,1
"Derecho de persecución","Facultad del acreedor hipotecario o prendario de perseguir el bien gravado en manos de cualquier persona que lo posea (art. 2428 CC). Es consecuencia de la naturaleza real del derecho.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVIII,De la hipoteca,2
"Derecho de preferencia","Facultad del acreedor con caución real de pagarse con prelación sobre los demás acreedores. Prenda: 2ª clase (art. 2474). Hipoteca: 3ª clase (art. 2477).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVIII,De la hipoteca,2
"Indivisibilidad de la hipoteca","Cada parte del inmueble hipotecado garantiza toda la deuda, y toda la deuda grava cada parte del inmueble. No se reduce proporcionalmente con pagos parciales (art. 2408 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVIII,De la hipoteca,2
"Purga de la hipoteca","Extinción de la hipoteca por venta en pública subasta con citación personal de los acreedores hipotecarios y transcurso del término de emplazamiento (art. 2428 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVIII,De la hipoteca,3
"Tercer poseedor","Quien adquiere el inmueble hipotecado sin ser deudor personal de la obligación garantizada. Puede ser demandado por el acreedor hipotecario mediante acción de desposeimiento.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVIII,De la hipoteca,2
"Acción de reembolso del fiador","Derecho del fiador que pagó para exigir al deudor principal la restitución de capital, intereses, costas y perjuicios (art. 2370 CC). Complementada con la subrogación legal (art. 1610 Nº 3).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXVI,De la fianza,2
