termino,definicion,rama,libro,titulo,materia,dificultad
"Demanda","Acto procesal escrito por el cual el demandante ejerce la acción y formula su pretensión ante el tribunal. Debe cumplir los requisitos del art. 254 CPC: tribunal, partes, hechos/derecho, peticiones.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,1
"Emplazamiento","Acto procesal complejo: notificación legal de la demanda + transcurso del plazo para contestar. Es trámite esencial del juicio (art. 795 Nº 1 CPC). El plazo base es de 15 días hábiles.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,1
"Excepciones dilatorias","Excepciones que se refieren a la corrección del procedimiento sin afectar el fondo. Art. 303 CPC: incompetencia, falta de capacidad, litis pendencia, ineptitud del libelo, beneficio de excusión.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,1
"Excepciones perentorias","Excepciones que atacan el fondo de la acción: buscan extinguir la pretensión del demandante. Se oponen en la contestación. Ej: pago, prescripción, nulidad, compensación, cosa juzgada.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,1
"Ineptitud del libelo","Excepción dilatoria (art. 303 Nº 4 CPC) que alega que la demanda no cumple requisitos formales: hechos confusos, peticiones vagas, individualización defectuosa. Busca que el demandante corrija su demanda.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,2
"Litis pendencia","Excepción dilatoria (art. 303 Nº 3 CPC): existe otro juicio PENDIENTE entre las mismas partes, misma causa y mismo objeto. Evita sentencias contradictorias sobre el mismo asunto.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,2
"Contestación de la demanda","Acto procesal del demandado por el cual se defiende de las pretensiones del demandante, oponiendo excepciones perentorias y hechos que desvirtúen la demanda. Requisitos: art. 309 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,1
"Reconvención","Contrademanda del demandado contra el demandante, formulada en el escrito de contestación (art. 314 CPC). Amplía el objeto del juicio. No requiere conexión con la demanda principal.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VIII,De la reconvención,1
"Allanamiento","Aceptación del demandado de las pretensiones del demandante. Si es total y no hay hechos controvertidos, permite omitir la prueba y citar a oír sentencia (art. 313 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,2
"Rebeldía","Situación del demandado válidamente emplazado que no contesta la demanda. No implica aceptación de hechos; el demandante debe probar. El rebelde pierde oportunidades procesales pero puede comparecer después.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,1
"Excepciones mixtas","Cosa juzgada y transacción: perentorias por naturaleza pero tramitables como dilatorias (art. 304 CPC). Si son de lato conocimiento, se reservan para la sentencia definitiva.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,3
"Tabla de emplazamiento","Tabla confeccionada cada 5 años por la Corte Suprema que fija el aumento de días según distancia. Se agrega al plazo base cuando el demandado es notificado fuera del territorio del tribunal (art. 259 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,2
