pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Las actuaciones judiciales deben practicarse en:","Días hábiles (no feriados) y horas hábiles (8:00 a 20:00)","Cualquier día y hora sin restricción","Solo de lunes a viernes de 9:00 a 14:00","Solo en días hábiles sin restricción horaria",0,"Art. 59 CPC: días no feriados + 8:00 a 20:00. El tribunal puede habilitar días y horas inhábiles por causa urgente (art. 60).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,1
"Sin autorización de un ministro de fe, la actuación judicial:","Carece de valor (art. 61 CPC)","Es plenamente válida","Solo pierde valor si la parte lo reclama","Es válida pero inoponible a terceros",0,"Art. 61 CPC: la autorización del ministro de fe (secretario, receptor) es requisito de validez de la actuación.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_IV,De las actuaciones judiciales,1
"Los plazos del CPC para las partes son:","Fatales como regla general: su vencimiento extingue el derecho (art. 64)","No fatales: requieren declaración de rebeldía","Prorrogables siempre a solicitud de parte","Suspendidos durante todo el verano judicial",0,"Art. 64 inc. 1 CPC: los plazos que señala el CPC son fatales para las partes, cualquiera sea la forma en que se expresen.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,1
"Los plazos de días del CPC se computan en:","Días hábiles: se suspenden durante los feriados (art. 66)","Días corridos sin interrupción","Solo días lunes a viernes","Días calendario incluyendo feriados",0,"Art. 66 CPC: los plazos de días del CPC son de días hábiles. Los del CC son de días corridos (art. 50 CC). Distinción fundamental.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,1
"Los plazos legales del CPC son:","Improrrogables (art. 67 CPC)","Siempre prorrogables a solicitud de parte","Prorrogables por una sola vez","Prorrogables con acuerdo de ambas partes",0,"Art. 67 CPC: los plazos legales son improrrogables. Solo los plazos judiciales pueden prorrogarse (antes de su vencimiento, con justa causa).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,2
"Un plazo común es aquel que:","Corre para todas las partes conjuntamente desde la última notificación","Corre separadamente para cada parte desde su propia notificación","Solo se aplica a los demandados","Se computa en días corridos",0,"Art. 65 CPC: el plazo común corre desde la última notificación. Ej: término probatorio (art. 327). Los plazos individuales corren desde la notificación de cada parte.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_V,De los plazos,2
"La primera notificación al demandado debe ser:","Personal (art. 40 CPC)","Por el estado diario","Por cédula","Por correo electrónico certificado",0,"Art. 40 CPC: en toda gestión judicial, la primera notificación a las partes debe ser personal. Es garantía del debido proceso y trámite esencial (art. 795 Nº 1).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_VI,De las notificaciones,1
"La notificación por el estado diario es:","La regla general cuando la ley no exige otra forma (art. 50 CPC)","Excepcional y solo para sentencias definitivas","Solo para recursos de apelación","Solo para actuaciones dentro del término probatorio",0,"Art. 50 CPC: es la forma ordinaria y residual de notificación. Se aplica a todas las resoluciones que no tengan forma especial de notificación.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_VI,De las notificaciones,1
"La sentencia definitiva de primera instancia se notifica por:","Cédula (art. 48 CPC)","Estado diario","Personalmente siempre","Avisos en diarios",0,"Art. 48 CPC: se notifican por cédula: sentencia definitiva de 1ª instancia, resolución que recibe la causa a prueba y la que ordena comparecencia personal.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_VI,De las notificaciones,1
"La notificación personal subsidiaria del art. 44 CPC requiere previamente:","Certificación del receptor de dos búsquedas en dos días distintos sin encontrar al notificado","Solo una búsqueda infructuosa","Autorización del juez sin búsquedas previas","Publicación previa en un diario",0,"Art. 44 CPC: el receptor debe certificar que buscó al demandado en dos días distintos en su habitación o trabajo. Luego el tribunal autoriza la notificación subsidiaria.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_VI,De las notificaciones,2
"La notificación tácita del art. 55 CPC opera cuando:","La parte no notificada realiza cualquier gestión que supone conocimiento de la resolución, sin reclamar la falta de notificación","El tribunal presume que las partes conocen todas las resoluciones","Han pasado 5 días desde la resolución","La parte declara conocer la resolución ante notario",0,"Art. 55 CPC: la parte demuestra con su actuación procesal que conoce la resolución. Su gestión equivale a notificación válida.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_VI,De las notificaciones,2
