afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"Los esponsales generan una obligación natural de celebrar el matrimonio prometido.",false,"Art. 98 CC: los esponsales no producen obligación alguna ante la ley civil. Ni siquiera obligación natural. Es un hecho privado sometido al honor y conciencia.",DERECHO_CIVIL,LIBRO_I,TITULO_III,De los esponsales,1
"Las donaciones hechas por causa del matrimonio prometido pueden pedirse de vuelta si el matrimonio no se celebra.",true,"Art. 99 CC: puede pedirse la restitución de las cosas donadas y entregadas bajo la condición de un matrimonio que no se ha efectuado.",DERECHO_CIVIL,LIBRO_I,TITULO_III,De los esponsales,1
"Según el art. 102 CC, el matrimonio es un contrato consensual.",false,"Art. 102 CC define el matrimonio como un contrato SOLEMNE. Requiere formalidades específicas: celebración ante Oficial del Registro Civil, presencia de testigos hábiles.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"El dolo es vicio del consentimiento matrimonial según la Ley 19.947.",false,"Art. 8 Ley 19.947: solo el error y la fuerza son vicios del consentimiento matrimonial. El dolo queda excluido, a diferencia de lo que ocurre en los contratos patrimoniales (art. 1451 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"Los menores de 18 pero mayores de 16 pueden casarse sin consentimiento de nadie.",false,"Arts. 105-111 CC: los menores de 18 requieren consentimiento de sus padres, ascendientes u otras personas según el orden legal. La falta de consentimiento no anula el matrimonio pero acarrea sanciones patrimoniales.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"El matrimonio religioso produce efectos civiles automáticamente desde su celebración.",false,"Art. 20 Ley 19.947: el matrimonio religioso produce efectos civiles SOLO si se inscribe en el Registro Civil dentro de 8 días. Sin inscripción oportuna, no produce efecto civil alguno.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"La sociedad conyugal es el régimen patrimonial que se aplica por defecto si los cónyuges no pactan nada.",true,"Art. 135 CC: a falta de pacto en contrario, se entienden casados bajo el régimen de sociedad conyugal. Es el régimen legal supletorio.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,1
"El matrimonio putativo produce los mismos efectos que el matrimonio válido respecto del cónyuge de buena fe.",true,"Art. 51 Ley 19.947: el matrimonio nulo celebrado ante Oficial del RC produce los mismos efectos civiles que el válido respecto del cónyuge que de buena fe y con justa causa de error lo contrajo.",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"La separación judicial disuelve el vínculo matrimonial y permite contraer nuevo matrimonio.",false,"La separación judicial NO disuelve el vínculo. Los cónyuges siguen casados y no pueden contraer nuevo matrimonio. Solo se disuelve el régimen patrimonial y se regulan los efectos de la separación.",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,1
"El divorcio de común acuerdo requiere un cese de convivencia de 3 años.",false,"Art. 55 inc. 1 Ley 19.947: el divorcio de común acuerdo requiere cese de convivencia mayor a 1 año (no 3). El plazo de 3 años es para el divorcio unilateral (inc. 3).",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,1
"La compensación económica solo puede ser solicitada por la mujer.",false,"Art. 61 Ley 19.947: la compensación corresponde al cónyuge que se dedicó al hogar o los hijos, sea hombre o mujer. No hay distinción de género.",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,1
"La compensación económica procede en caso de separación judicial.",false,"Arts. 61-66 Ley 19.947: la compensación económica procede solo al momento del divorcio o la nulidad. No procede en la separación judicial.",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,2
"La acción de nulidad de matrimonio prescribe en 4 años desde su celebración como regla general.",false,"Art. 48 Ley 19.947: como regla general, la acción de nulidad NO prescribe durante la vida de los cónyuges. Las excepciones son la nulidad por fuerza (3 años) y por menor de 16 (al cumplir mayoría de edad).",DERECHO_CIVIL,LIBRO_I,TITULO_IV,Del matrimonio,2
"El divorcio pone fin al matrimonio y opera hacia el futuro, sin efecto retroactivo.",true,"Art. 53 Ley 19.947: el divorcio disuelve el matrimonio de manera irrevocable. Opera ex nunc (hacia el futuro): el matrimonio fue válido durante su vigencia.",DERECHO_CIVIL,LIBRO_I,TITULO_V,De la separación de los cónyuges,1
