termino,definicion,rama,libro,titulo,materia,dificultad
"Mora del deudor","Retardo culpable en el cumplimiento de la obligación unido al requerimiento del acreedor. Se constituye por vencimiento del plazo, por la naturaleza de la obligación o por requerimiento judicial (art. 1551 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"Daño emergente","Pérdida efectivamente sufrida por el acreedor a causa del incumplimiento. Disminución real del patrimonio (art. 1556 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"Lucro cesante","Ganancia que el acreedor dejó de obtener a causa del incumplimiento. Beneficio frustrado o utilidad que habría percibido (art. 1556 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"Caso fortuito o fuerza mayor","Imprevisto a que no es posible resistir (art. 45 CC). Exime de responsabilidad al deudor por romper el nexo causal entre incumplimiento y perjuicio.",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"Pago","Prestación de lo que se debe. Modo normal y más frecuente de extinguir obligaciones. Puede ser de dar, hacer o no hacer (art. 1568 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XIV,De los modos de extinguirse las obligaciones y primeramente de la solución o pago efectivo,1
"Novación","Sustitución de una nueva obligación a otra anterior, que queda extinguida. Requiere animus novandi y diferencia sustancial entre ambas obligaciones (art. 1628 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XV,De la novación,1
"Compensación","Modo de extinguir obligaciones recíprocas hasta la concurrencia de sus valores. Opera de pleno derecho cuando ambas deudas son líquidas, exigibles y de dinero o fungibles (art. 1655 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XVII,De la compensación,1
"Confusión","Modo de extinguir obligaciones cuando las calidades de acreedor y deudor se reúnen en una misma persona (art. 1665 CC). Ej: el acreedor hereda al deudor.",DERECHO_CIVIL,LIBRO_IV,TITULO_XVIII,De la confusión,1
"Nulidad absoluta","Sanción por omisión de requisitos exigidos en consideración a la naturaleza del acto o al interés público. La puede alegar cualquier interesado; se declara de oficio; prescribe en 10 años; no se sanea por ratificación (art. 1682 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XX,De la nulidad y la rescisión,1
"Nulidad relativa","Sanción por omisión de requisitos exigidos en consideración a la calidad de las personas. Solo la alega el afectado; prescribe en 4 años; se sanea por ratificación o transcurso del plazo (art. 1682 inc. final CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XX,De la nulidad y la rescisión,1
"Acción pauliana","Acción revocatoria que tienen los acreedores para dejar sin efecto actos del deudor realizados en fraude de sus derechos (art. 2468 CC). Requiere insolvencia del deudor y fraude.",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,3
"Pago por subrogación","Transmisión de los derechos del acreedor a un tercero que paga. El tercero se subroga en todos los derechos, privilegios y garantías del acreedor original (art. 1608 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XIV,De los modos de extinguirse las obligaciones y primeramente de la solución o pago efectivo,2
