afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"El Juez de Garantía conoce del juicio oral penal.",false,"Art. 14 COT: el JG conoce de la investigación, medidas cautelares, abreviado y simplificado. El juicio oral lo conoce el TOP (art. 17).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
"El TOP está compuesto por 3 jueces que funcionan en sala.",true,"Art. 17 COT: 3 jueces por sala. Sentencia por mayoría. Nunca funciona unipersonalmente en juicio oral.",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,1
"Contra la sentencia del juicio oral procede recurso de apelación.",false,"Arts. 372-387 CPP: procede recurso de NULIDAD, no apelación. La nulidad es por causales taxativas ante CA o CS.",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,2
"La investigación penal es dirigida por el Juez de Garantía.",false,"Art. 83 CPR: la investigación la dirige el MINISTERIO PÚBLICO (Fiscalía). El JG solo autoriza y controla. Sistema acusatorio.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
"La mediación es obligatoria en todas las materias de familia sin excepción.",false,"Art. 106 Ley 19.968: obligatoria solo en alimentos, cuidado personal y relación directa. NO en VIF, adopción ni protección de menores.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,2
"Los Juzgados de Familia conocen de violencia intrafamiliar.",true,"Art. 8 Ley 19.968: VIF es materia de competencia de los Juzgados de Familia. No requiere mediación previa.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,1
"El procedimiento laboral es escrito como el juicio ordinario civil.",false,"Arts. 425-459 CT: el procedimiento laboral es ORAL. Dos audiencias: preparatoria y de juicio. Principios: oralidad, inmediación, concentración.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,1
"Los TTA reemplazaron al Director Regional del SII como juez tributario.",true,"Ley 20.322: antes el SII era juez y parte. Los TTA son independientes, garantizando imparcialidad e independencia.",DERECHO_ORGANICO,COT,TITULO_III,De los Tribunales Tributarios y Aduaneros,2
"El Juez de Garantía puede decretar la prisión preventiva de oficio.",false,"Art. 140 CPP: la prisión preventiva la decreta el JG pero solo A SOLICITUD DEL FISCAL. No de oficio. Sistema acusatorio.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,2
"El procedimiento monitorio laboral es para causas de gran cuantía.",false,"Art. 496 CT: es para causas de MENOR cuantía (hasta 10 ingresos mínimos). El juez resuelve con la sola demanda.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"Los tribunales de reforma tienen administrador de tribunal que separa gestión administrativa de jurisdicción.",true,"Innovación de las reformas. Garantía, TOP, Familia y Trabajo tienen administrador profesional. Libera al juez de tareas no jurisdiccionales.",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales especiales,2
"Los Juzgados de Cobranza Laboral conocen de juicios laborales declarativos.",false,"Art. 416 CT: conocen de la EJECUCIÓN de sentencias laborales y cobro de cotizaciones. Los declarativos los conoce el Juzgado del Trabajo.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"La tutela laboral protege los derechos fundamentales del trabajador en la relación laboral.",true,"Art. 485 CT: procedimiento especial que protege derechos fundamentales (intimidad, honra, no discriminación). Incluye indicios con inversión de carga.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"Los Juzgados de Garantía y TOP fueron creados por la Reforma Procesal Penal del año 2000.",true,"Ley 19.696 (CPP): creó el sistema acusatorio. JG (investigación) + TOP (juicio oral) + MP + Defensoría Penal Pública.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
