termino,definicion,rama,libro,titulo,materia,dificultad
"Acción reivindicatoria","Acción de dominio que tiene el dueño de una cosa singular de que no está en posesión, para que el poseedor sea condenado a restituírsela (art. 889 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XII,De la reivindicación,1
"Prestaciones mutuas","Restituciones recíprocas entre reivindicador y poseedor vencido: el poseedor devuelve la cosa y frutos; el reivindicador reembolsa mejoras según su clase (arts. 904-915 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XII,De la reivindicación,2
"Acción publiciana","Acción que se concede al poseedor regular no dueño que ha perdido la posesión, para que se le restituya. No procede contra el verdadero dueño (art. 894 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XII,De la reivindicación,3
"Acciones posesorias","Las que tienen por objeto conservar o recuperar la posesión de bienes raíces o derechos reales sobre inmuebles. Requieren posesión de un año y prescriben en un año (arts. 916-920 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XIII,De las acciones posesorias,1
"Querella de amparo","Acción posesoria para conservar la posesión de un inmueble cuando se teme perturbación futura (art. 921 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XIII,De las acciones posesorias,1
"Querella de restitución","Acción posesoria para recuperar la posesión de un inmueble del que se ha sido despojado. Prescribe en 1 año desde el despojo (art. 926 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XIII,De las acciones posesorias,1
"Querella de restablecimiento","Acción especial para recuperar posesión o mera tenencia de un inmueble del que se ha sido despojado violentamente. Prescribe en 6 meses (art. 928 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XIII,De las acciones posesorias,2
"Prescripción adquisitiva","Modo de adquirir las cosas ajenas por haberlas poseído durante cierto tiempo, concurriendo los demás requisitos legales. Ordinaria: 2/5 años con posesión regular. Extraordinaria: 10 años (art. 2492 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XIV,De algunas acciones posesorias especiales,1
"Interrupción de la prescripción","Hecho que hace perder el tiempo de posesión transcurrido. Natural: pérdida de posesión (art. 2502). Civil: demanda judicial del dueño (art. 2503).",DERECHO_CIVIL,LIBRO_II,TITULO_XIV,De algunas acciones posesorias especiales,2
"Suspensión de la prescripción","Beneficio legal que detiene el curso de la prescripción a favor de ciertas personas (menores, dementes, sordomudos, herencia yacente, cónyuges) sin perder el tiempo ya transcurrido (art. 2509 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XIV,De algunas acciones posesorias especiales,2
"Denuncia de obra nueva","Acción para obtener la suspensión de una obra nueva que se construye sobre suelo del poseedor o que embaraza una servidumbre (art. 930 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XIV,De algunas acciones posesorias especiales,2
"Denuncia de obra ruinosa","Acción para obtener la demolición o reparación de un edificio vecino que amenaza ruina y puede causar daño al demandante o transeúntes (art. 932 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_XIV,De algunas acciones posesorias especiales,2
