afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"La acción de partición es prescriptible y se extingue a los 5 años.",false,"Art. 1317 CC: la acción de partición es IMPRESCRIPTIBLE. Cualquier comunero puede pedirla en cualquier tiempo. Nadie está obligado a permanecer en la indivisión.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,1
"La adjudicación tiene efecto declarativo: el adjudicatario se reputa dueño desde la muerte del causante.",true,"Art. 1344 CC: efecto declarativo retroactivo. Se entiende que el adjudicatario sucedió directamente al difunto, como si nunca hubiera habido comunidad sobre esos bienes.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"El pacto de indivisión puede estipularse por un plazo máximo de 10 años.",false,"Art. 1317 CC: el pacto de indivisión no puede durar más de 5 AÑOS, aunque puede renovarse cada vez que expire.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,1
"La partición puede hacerse de común acuerdo si todos los coasignatarios son capaces.",true,"Art. 1325 CC: si todos son capaces y están de acuerdo, pueden hacer la partición sin juez partidor. Si hay incapaces, debe intervenir el juez.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,1
"Las deudas hereditarias se dividen entre los herederos en partes iguales.",false,"Art. 1354 CC: las deudas se dividen A PRORRATA de las cuotas hereditarias, no en partes iguales. Si un heredero lleva el 50% de la herencia, responde del 50% de las deudas.",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,1
"El legatario responde directamente de todas las deudas hereditarias.",false,"El legatario como regla general no responde de las deudas hereditarias. Solo responde subsidiariamente si no hay bienes suficientes en la herencia (art. 1362 CC).",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,2
"La donación entre vivos es un acto unilateral que no requiere aceptación.",false,"Art. 1386 CC: la donación es un contrato (requiere ACEPTACIÓN del donatario). Sin aceptación, no hay donación. Es bilateral en su formación, aunque gratuito.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,1
"Las donaciones entre vivos son esencialmente revocables.",false,"Art. 1386 CC: las donaciones entre vivos son IRREVOCABLES como regla general. Solo excepcionalmente pueden revocarse (ingratitud, art. 1428). Las revocables son las donaciones por causa de muerte (art. 1136).",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,1
"La insinuación es la autorización judicial necesaria para ciertas donaciones.",true,"Art. 1401 CC: toda donación que exceda cierto monto requiere insinuación (autorización del juez). Sin ella, la donación es nula en lo que exceda.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,1
"Las donaciones entre cónyuges no separados judicialmente son irrevocables.",false,"Art. 1137 CC: las donaciones entre cónyuges son siempre REVOCABLES mientras dure el matrimonio. Es una excepción a la irrevocabilidad general.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"Se pueden donar bienes futuros.",false,"Art. 1409 CC: las donaciones a título universal no comprenden los bienes futuros del donante. Solo pueden donarse bienes presentes.",DERECHO_CIVIL,LIBRO_III,TITULO_XIII,De las donaciones entre vivos,2
"La partición puede rescindirse por lesión si un coasignatario es perjudicado en más de la mitad de su cuota.",true,"Art. 1348 CC: las particiones se anulan o rescinden según las reglas de los contratos. La lesión en la partición es un perjuicio superior a la mitad de la cuota.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,3
"El testador puede hacer la partición en su testamento.",true,"Art. 1318 CC: el testador puede hacer la partición por acto entre vivos o por testamento, siempre que no perjudique las legítimas de los herederos forzosos.",DERECHO_CIVIL,LIBRO_III,TITULO_X,De la partición de bienes,2
"El heredero con beneficio de inventario responde de las deudas con todos sus bienes personales.",false,"Art. 1247 CC: el beneficio de inventario LIMITA la responsabilidad al valor de los bienes heredados. El heredero no compromete su patrimonio personal.",DERECHO_CIVIL,LIBRO_III,TITULO_XI,Del pago de las deudas hereditarias y testamentarias,1
