termino,definicion,rama,libro,titulo,materia,dificultad
"Acción procesal","Derecho subjetivo público de poner en movimiento la jurisdicción para obtener la tutela de un derecho o interés legítimo. Independiente del derecho sustantivo invocado.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_I,De las reglas comunes a todo procedimiento,1
"Pretensión procesal","Declaración de voluntad por la cual se solicita al tribunal una actuación concreta frente al demandado. Es el contenido de la demanda: lo que se pide.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_I,De las reglas comunes a todo procedimiento,2
"Capacidad procesal","Aptitud para comparecer en juicio por sí mismo, sin necesidad de representante. Equivale a la capacidad de ejercicio del derecho civil. Los incapaces actúan representados.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_II,De las partes,1
"Legitimación procesal","Calidad que tiene una persona para actuar en un juicio concreto, derivada de su relación con el derecho discutido. El titular del derecho tiene legitimación activa; el obligado, legitimación pasiva.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_II,De las partes,2
"Litis consorcio","Pluralidad de partes en un mismo juicio. Activo: varios demandantes. Pasivo: varios demandados. Mixto: pluralidad en ambos lados. Art. 18 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_II,De las partes,1
"Tercero coadyuvante","Persona con interés actual que interviene en un juicio pendiente apoyando a una de las partes principales. Acepta todo lo obrado hasta su intervención (art. 23 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_II,De las partes,2
"Tercero excluyente","Persona que interviene en un juicio reclamando sobre la cosa litigiosa un derecho incompatible con el de ambas partes (art. 22 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_II,De las partes,2
"Ius postulandi","Conjunto de requisitos legales para actuar válidamente ante los tribunales: patrocinio de abogado habilitado + mandato a procurador habilitado (Ley 18.120).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_III,De la comparecencia en juicio,1
"Patrocinio de abogado","Contrato solemne por el cual se encomienda a un abogado habilitado la defensa técnica en juicio. Se constituye en la primera presentación con nombre, domicilio y firma del abogado (art. 1 Ley 18.120).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_III,De la comparecencia en juicio,1
"Mandato judicial","Contrato por el cual una parte otorga a un procurador habilitado la representación procesal para actuar en su nombre ante los tribunales (art. 6 CPC). Se constituye por EP, acta ante juez o declaración autorizada por secretario.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_III,De la comparecencia en juicio,1
"Facultades ordinarias del mandato","Las que se entienden conferidas sin mención expresa: actuar en todas las etapas del juicio, desde la demanda hasta la ejecución de la sentencia. Incluyen apelación (art. 7 inc. 1 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_III,De la comparecencia en juicio,2
"Facultades extraordinarias del mandato","Las que requieren mención expresa: desistirse, aceptar demanda contraria, absolver posiciones, renunciar a recursos, transigir, comprometer, delegar poder, aprobar convenios, percibir (art. 7 inc. 2 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_III,De la comparecencia en juicio,2
