termino,definicion,rama,libro,titulo,materia,dificultad
"Estado civil","La calidad de un individuo en cuanto le habilita para ejercer ciertos derechos o contraer ciertas obligaciones civiles (art. 304 CC). Es un atributo de la personalidad.",DERECHO_CIVIL,LIBRO_I,TITULO_XVII,De las pruebas del estado civil,1
"Alimentos congruos","Los que habilitan al alimentario para subsistir modestamente de un modo correspondiente a su posición social (art. 323 CC). Se deben al cónyuge y descendientes.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"Alimentos necesarios","Los que dan lo estrictamente indispensable para sustentar la vida (art. 323 CC). Se deben a los hermanos.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"Guardas","Cargos impuestos a ciertas personas a favor de quienes no pueden dirigirse a sí mismos o administrar competentemente sus negocios y no están bajo potestad protectora (art. 338 CC). Comprenden tutelas y curadurías.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,1
"Tutela","Guarda que se da a los impúberes (varón menor de 14, mujer menor de 12) que no están bajo patria potestad. El tutor cuida de la persona y bienes del pupilo (art. 341 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,1
"Curaduría general","Guarda que comprende la persona y bienes del pupilo. Se da a menores adultos sin patria potestad, dementes y sordomudos que no pueden darse a entender (art. 340 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,2
"Curaduría de bienes","Guarda que recae solo sobre los bienes y no sobre la persona. Ej: curador de la herencia yacente, curador de los bienes del ausente (art. 343 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,2
"Interdicción","Decreto judicial que declara a una persona incapaz de administrar sus bienes, sometiéndola a curaduría. Puede ser por demencia o por prodigalidad (disipación).",DERECHO_CIVIL,LIBRO_I,TITULO_XXV,De la curaduría del demente,2
"Disipador o pródigo","Persona que gasta sus bienes de forma inmoderada y desproporcionada, poniendo en peligro su patrimonio. Si es declarado interdicto, queda como relativamente incapaz sujeto a curaduría (art. 442 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_XXVI,De la curaduría del disipador,2
"Persona jurídica","Persona ficticia, capaz de ejercer derechos y contraer obligaciones civiles, y de ser representada judicial y extrajudicialmente (art. 545 CC).",DERECHO_CIVIL,LIBRO_I,TITULO_XXXIII,De las personas jurídicas,1
"Corporación","Asociación de personas reunidas para un fin común, que obtiene personalidad jurídica. El elemento esencial es el sustrato personal (los asociados). Art. 545 inc. 2 CC.",DERECHO_CIVIL,LIBRO_I,TITULO_XXXIII,De las personas jurídicas,1
"Fundación","Patrimonio afectado a un fin determinado por la voluntad del fundador, que obtiene personalidad jurídica. El elemento esencial es el sustrato patrimonial (los bienes). Art. 545 inc. 3 CC.",DERECHO_CIVIL,LIBRO_I,TITULO_XXXIII,De las personas jurídicas,1
