pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Según el art. 321 CC, ¿cuál de los siguientes NO tiene derecho a pedir alimentos?","Los amigos íntimos del alimentante","El cónyuge","Los descendientes","Los hermanos",0,"Art. 321 CC enumera taxativamente a los titulares: cónyuge, descendientes, ascendientes, hermanos, donante de donación cuantiosa y adoptado/adoptante. Los amigos no figuran.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"Los alimentos congruos son aquellos que:","Habilitan al alimentario para subsistir modestamente de un modo correspondiente a su posición social","Dan lo estrictamente indispensable para la subsistencia","Cubren solo alimentación y vestuario","Se fijan por un monto equivalente al sueldo mínimo",0,"Art. 323 CC: los congruos permiten subsistir modestamente según la posición social. Los necesarios dan solo lo indispensable para subsistir.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"¿Hasta qué edad se deben alimentos a los hijos como regla general?","Hasta los 21 años, o 28 si estudia profesión u oficio","Hasta los 18 años","Hasta los 25 años sin excepción","De por vida, sin límite de edad",0,"Art. 332 CC: hasta los 21 años (regla general), hasta los 28 si estudia profesión u oficio, y sin límite si tiene incapacidad física o mental que impida su sustento.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"El derecho de pedir alimentos futuros es:","Irrenunciable, intransferible e intransmisible","Renunciable por escritura pública","Transferible entre cónyuges","Transmisible a los herederos del alimentario",0,"Art. 334 CC: no puede transmitirse por causa de muerte, ni venderse o cederse, ni renunciarse. Pero las pensiones atrasadas sí pueden renunciarse y transmitirse (art. 336).",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"Según el orden de precedencia del art. 326 CC, ¿quién debe alimentos en primer lugar?","El cónyuge (después del donante de donación cuantiosa)","Los padres","Los hijos","Los hermanos",0,"Art. 326 CC: el orden es: 1º donante, 2º cónyuge, 3º descendientes, 4º ascendientes, 5º hermanos. El cónyuge está antes que los hijos en el orden de precedencia.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,2
"Las pensiones alimenticias atrasadas (devengadas):","Pueden renunciarse y transmitirse","Son irrenunciables al igual que el derecho de alimentos","Prescriben al mes siguiente de su vencimiento","Se extinguen por el solo ministerio de la ley",0,"Art. 336 CC: las pensiones atrasadas (ya devengadas) pueden renunciarse, cederse y transmitirse. La irrenunciabilidad del art. 334 solo se refiere al derecho a alimentos futuros.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,3
"La sentencia que fija alimentos:","Puede modificarse si varían las circunstancias del alimentante o alimentario","Produce cosa juzgada material absoluta y no puede modificarse jamás","Solo puede modificarse dentro de los 3 años siguientes","Se revisa automáticamente cada 2 años",0,"La sentencia de alimentos no produce cosa juzgada material en cuanto al monto: es esencialmente revisable si cambian las necesidades del alimentario o las facultades del alimentante.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,2
"Las guardas según el art. 338 CC son cargos impuestos a favor de quienes:","No pueden dirigirse a sí mismos ni administrar sus negocios y no están bajo patria potestad protectora","Son menores de edad sin excepción","Han sido declarados interdictos por sentencia judicial","Son mayores de 65 años que requieren asistencia",0,"Art. 338 CC: las guardas son para quienes no pueden autogobernarse NI administrar sus negocios, SIEMPRE que no estén bajo patria potestad que pueda protegerlos.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,1
"La tutela se da a:","Los impúberes (menores de 14 el varón, menores de 12 la mujer)","Los menores adultos","Los dementes mayores de edad","Los pródigos interdictos",0,"Art. 341 CC: los tutores se dan a los impúberes. Los curadores se dan a los menores adultos, dementes, sordomudos que no pueden darse a entender y disipadores.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,1
"Las curadurías generales comprenden:","La persona y los bienes del pupilo","Solo los bienes del pupilo","Solo la persona del pupilo","Un negocio particular del pupilo",0,"Art. 340 CC: curadurías generales (persona + bienes), de bienes (solo bienes), adjuntas (complementan la patria potestad) y especiales (un negocio particular).",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,2
