pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La acción reivindicatoria según el art. 889 CC corresponde a:","El dueño de una cosa singular de que no está en posesión, contra el actual poseedor","Cualquier persona que haya perdido una cosa, contra quien la tenga","El poseedor despojado, contra el usurpador","El mero tenedor, contra quien le arrebató la cosa",0,"Art. 889 CC: la reivindicatoria exige ser dueño + cosa singular + no estar en posesión. Se dirige contra el poseedor actual.",DERECHO_CIVIL,LIBRO_II,TITULO_XII,De la reivindicación,1
"¿Cuál de los siguientes NO es requisito de la acción reivindicatoria?","Que el demandante haya poseído la cosa durante al menos un año","Que el demandante sea dueño de la cosa","Que la cosa sea singular y determinada","Que el demandado sea el actual poseedor",0,"La posesión de un año es requisito de las acciones POSESORIAS, no de la reivindicatoria. La reivindicatoria exige probar dominio, no posesión previa.",DERECHO_CIVIL,LIBRO_II,TITULO_XII,De la reivindicación,2
"El poseedor de buena fe vencido en juicio reivindicatorio:","No debe restituir los frutos percibidos antes de la contestación de la demanda","Debe restituir todos los frutos desde que tomó posesión","No debe restituir ningún fruto bajo ninguna circunstancia","Solo debe restituir los frutos civiles, no los naturales",0,"Art. 907 inc. 3 CC: el poseedor de buena fe no restituye frutos percibidos antes de la contestación de la demanda. Desde la contestación se le considera de mala fe para estos efectos.",DERECHO_CIVIL,LIBRO_II,TITULO_XII,De la reivindicación,2
"Las mejoras necesarias se abonan al poseedor vencido:","Siempre, sea de buena o mala fe","Solo si es de buena fe","Solo si es de mala fe","Nunca, son asumidas por el poseedor",0,"Art. 908 CC: las mejoras necesarias (indispensables para conservación) se abonan siempre, independientemente de la buena o mala fe del poseedor.",DERECHO_CIVIL,LIBRO_II,TITULO_XII,De la reivindicación,2
"Las mejoras voluptuarias:","No se abonan a ningún poseedor, pero el de buena fe puede retirar materiales sin detrimento","Se abonan siempre al poseedor de buena fe","Se abonan al poseedor de mala fe como castigo","Se presumen necesarias y se abonan siempre",0,"Art. 911 CC: las mejoras de mero lujo u ornato no se abonan. Pero el poseedor (de buena fe) puede retirar materiales si no causa detrimento a la cosa.",DERECHO_CIVIL,LIBRO_II,TITULO_XII,De la reivindicación,2
"Las acciones posesorias según el art. 916 CC protegen:","La posesión de bienes raíces o derechos reales constituidos en ellos","La posesión de cualquier bien mueble o inmueble","Solo el dominio sobre inmuebles","La mera tenencia de bienes muebles",0,"Art. 916 CC: las acciones posesorias se limitan a bienes RAÍCES y derechos reales sobre inmuebles. Los muebles no tienen protección posesoria.",DERECHO_CIVIL,LIBRO_II,TITULO_XIII,De las acciones posesorias,1
"Para ejercer una acción posesoria se requiere posesión tranquila e ininterrumpida durante:","Un año completo","Seis meses","Dos años","Cinco años",0,"Art. 918 CC: la posesión debe ser tranquila y no interrumpida durante un año completo. Es el 'año posesorio'.",DERECHO_CIVIL,LIBRO_II,TITULO_XIII,De las acciones posesorias,1
"Las acciones posesorias prescriben en:","1 año desde el acto de turbación o despojo","6 meses desde el despojo","2 años desde la perturbación","5 años desde la pérdida de la posesión",0,"Art. 920 CC: prescriben en 1 año. La querella de restablecimiento (art. 928) prescribe excepcionalmente en 6 meses.",DERECHO_CIVIL,LIBRO_II,TITULO_XIII,De las acciones posesorias,1
"La querella de restablecimiento del art. 928 CC se diferencia de las demás acciones posesorias en que:","Se concede también al mero tenedor y solo procede ante despojo violento","Solo protege inmuebles rurales","Requiere posesión de 5 años","No tiene plazo de prescripción",0,"Art. 928 CC: querella de restablecimiento = despojo violento + cualquier persona (incluso mero tenedor) + prescribe en 6 meses. Es excepcional.",DERECHO_CIVIL,LIBRO_II,TITULO_XIII,De las acciones posesorias,2
"La prescripción según el art. 2492 CC puede ser:","Adquisitiva (para adquirir dominio) o extintiva (para extinguir acciones)","Solo adquisitiva","Solo extintiva","Suspensiva o resolutoria",0,"Art. 2492 CC define ambas: adquisitiva (modo de adquirir por posesión) y extintiva (modo de extinguir por no ejercicio). Son dos instituciones distintas reguladas juntas.",DERECHO_CIVIL,LIBRO_II,TITULO_XIV,De algunas acciones posesorias especiales,1
