pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Los requisitos para que proceda el juicio ejecutivo de obligaciones de dar son:","Título ejecutivo, obligación líquida, obligación actualmente exigible, acción no prescrita","Solo un título ejecutivo","Título ejecutivo y sentencia previa","Cualquier documento que acredite la deuda",0,"Arts. 434-438 CPC + 2515 CC: cuatro requisitos copulativos. Si falta uno, no procede la ejecución.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"Los títulos ejecutivos del art. 434 CPC son:","Taxativos: solo los que la ley enumera expresamente","Ejemplificativos: el juez puede aceptar otros","Los que las partes acuerden en el contrato","Cualquier documento firmado ante notario",0,"Art. 434 CPC: enumeración taxativa. Solo los instrumentos que la ley califica como títulos ejecutivos tienen mérito para despachar ejecución.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"La copia autorizada de escritura pública es título ejecutivo según:","Art. 434 Nº 2 CPC","Art. 434 Nº 1 CPC","Art. 434 Nº 4 CPC","No es título ejecutivo",0,"Art. 434 Nº 2 CPC: la copia autorizada de escritura pública tiene mérito ejecutivo por sí sola, sin necesidad de reconocimiento.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"Si el deudor no comparece a la gestión de reconocimiento de firma:","Se tiene por reconocida la firma y el instrumento adquiere mérito ejecutivo (art. 435)","Se archiva la gestión sin consecuencias","Se cita nuevamente al deudor","Se declara nula la gestión",0,"Art. 435 CPC: la incomparecencia o respuestas evasivas producen el reconocimiento ficto de la firma. Similar a la confesión ficta.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"El mandamiento de ejecución y embargo contiene:","Orden de requerir de pago, orden de embargar bienes si no paga, designación de depositario (art. 443)","Solo la orden de embargar","Solo la orden de pagar","La sentencia definitiva del juicio",0,"Art. 443 CPC: tres contenidos mínimos. Puede incluir además la orden de auxilio de fuerza pública.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"La acción ejecutiva prescribe en:","3 años desde que la obligación se hizo exigible (art. 2515 CC)","5 años","10 años","1 año",0,"Art. 2515 CC: 3 años para la ejecutiva. Prescrita, subsiste como acción ordinaria por 2 años más (total 5).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"El plazo para oponer excepciones en el juicio ejecutivo es de:","4 días fatales desde el requerimiento de pago (dentro de la comuna del tribunal)","15 días como en el juicio ordinario","10 días desde la notificación","Sin plazo: pueden oponerse en cualquier momento",0,"Art. 462 CPC: 4 días (misma comuna) + 4 adicionales (otra comuna del territorio) + 4 más si fuera del territorio. Es plazo fatal.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"Las excepciones del art. 464 CPC son:","Taxativas: solo las 18 enumeradas son admisibles","Ejemplificativas: el ejecutado puede alegar otras","Las mismas que en el juicio ordinario","Solo las dilatorias del art. 303",0,"Art. 464 CPC: enumeración cerrada. A diferencia del juicio ordinario donde las perentorias son abiertas, aquí solo valen las 18 del artículo.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"Si el ejecutado no opone excepciones:","El tribunal dicta sentencia de pago sin más trámite (art. 472 CPC)","El juicio se suspende indefinidamente","Se cita a conciliación obligatoria","Se archiva la causa",0,"Art. 472 CPC: sin excepciones, el mandamiento de ejecución y embargo hace las veces de sentencia definitiva condenatoria.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"La sentencia de pago se dicta cuando:","Lo embargado es dinero o la especie misma que se debe; se paga directamente al acreedor","Siempre que el ejecutado pierda","Los bienes embargados deben rematarse","El ejecutado se allana",0,"Sentencia de pago = el bien embargado satisface directamente la obligación (dinero o la cosa debida). Sentencia de remate = los bienes deben venderse.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"La sentencia de remate se dicta cuando:","Los bienes embargados son distintos del dinero o la especie debida y deben venderse en subasta","Lo embargado es dinero y se entrega al acreedor","El ejecutado paga voluntariamente","El tribunal rechaza las excepciones",0,"Sentencia de remate = se deben realizar (vender) los bienes para obtener dinero y pagar al acreedor. Procede el remate en pública subasta.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"El juicio ejecutivo se tramita en:","Dos cuadernos: ejecutivo (demanda y excepciones) y de apremio (embargo y realización)","Un solo cuaderno","Tres cuadernos","Cuaderno separado para cada excepción",0,"Tramitación paralela: el cuaderno ejecutivo resuelve la procedencia de la ejecución; el de apremio materializa el embargo y la realización.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"La excepción del art. 464 Nº 7 CPC se refiere a:","Falta de algún requisito para que el título tenga fuerza ejecutiva (no es título, obligación no líquida, no exigible o prescrita)","Falsedad del título","Pago de la deuda","Cosa juzgada",0,"Art. 464 Nº 7: es la excepción más amplia y frecuente. Cubre los cuatro requisitos de procedencia: título, liquidez, exigibilidad y prescripción.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"La apelación de la sentencia que rechaza excepciones en el juicio ejecutivo se concede en:","El solo efecto devolutivo: la ejecución continúa mientras pende el recurso","Ambos efectos: se suspende la ejecución","Sin efecto alguno","Efecto suspensivo solamente",0,"Art. 194 Nº 1 CPC: si se rechaza la oposición (sentencia favorable al ejecutante), la apelación se concede en el solo efecto devolutivo. La ejecución no se detiene.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"La gestión preparatoria de avaluación por perito procede cuando:","La deuda es en especie o cuerpo cierto no disponible, y debe determinarse su valor en dinero (art. 438)","Siempre que se inicie un juicio ejecutivo","Solo para deudas superiores a 100 UTM","Solo para deudas en moneda extranjera",0,"Art. 438 CPC: si la obligación no es en dinero sino en especie, debe liquidarse su valor mediante peritaje para que sea líquida.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"¿Procede la conciliación obligatoria en el juicio ejecutivo?","No, está expresamente excluida por el art. 262 inc. 2 CPC","Sí, como en todo juicio civil","Solo si el ejecutado la solicita","Solo después de las excepciones",0,"Art. 262 inc. 2 CPC: exclusión expresa del juicio ejecutivo del trámite de conciliación obligatoria.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"El pagaré y la letra de cambio son títulos ejecutivos:","Sí, por disposición de la Ley 18.092 sobre Letras de Cambio y Pagarés","No, porque no están en el art. 434","Solo si son reconocidos judicialmente","Solo si tienen más de 1 año de antigüedad",0,"Art. 434 Nº 4 CPC + Ley 18.092: pagaré y letra de cambio son títulos ejecutivos perfectos. El cheque requiere protesto + notificación judicial.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"El requerimiento de pago se practica:","Personalmente al deudor por un receptor judicial. Si no paga en el acto, se procede al embargo","Por correo certificado","Por el estado diario","Solo por notificación por avisos",0,"Art. 443 CPC: el receptor requiere personalmente al deudor. Si paga, el juicio termina. Si no, se embarga inmediatamente.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
