pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"El Juez de Garantía conoce de:","La etapa de investigación penal, medidas cautelares, procedimiento abreviado y simplificado (art. 14 COT)","El juicio oral penal","Las apelaciones penales","Los recursos de casación penal",0,"Art. 14 COT: el JG garantiza derechos en la investigación. El juicio oral lo conoce el TOP.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
"El Tribunal de Juicio Oral en lo Penal está compuesto por:","3 jueces que funcionan en sala (art. 17 COT)","1 juez como los juzgados de garantía","5 jueces como la CS","21 jueces",0,"Art. 17 COT: 3 jueces por sala. Sentencia por mayoría. Nunca funciona unipersonalmente.",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,1
"Contra la sentencia del TOP procede:","Recurso de nulidad ante la CA o CS (arts. 372-387 CPP)","Recurso de apelación","Recurso de casación en la forma","Recurso de reposición",0,"Arts. 372-387 CPP: nulidad por causales taxativas. NO procede apelación contra la sentencia del juicio oral.",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,2
"La investigación penal es dirigida por:","El Ministerio Público (Fiscalía), no por el juez (sistema acusatorio)","El Juez de Garantía","El TOP","La policía de forma autónoma",0,"Art. 83 CPR: el MP dirige la investigación. El JG solo autoriza y controla. Separación investigar/juzgar.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
"Los Juzgados de Familia conocen de:","Divorcio, cuidado personal, alimentos, adopción, VIF, protección de menores (art. 8 Ley 19.968)","Solo de divorcio y matrimonio","Solo de alimentos","Solo de adopción",0,"Art. 8 Ley 19.968: competencia amplia en materias de familia. Incluye VIF y protección de niños vulnerados.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,1
"La mediación obligatoria previa en tribunales de familia procede en:","Alimentos, cuidado personal y relación directa y regular (art. 106 Ley 19.968)","Todas las materias de familia sin excepción","Solo en divorcio","Solo en violencia intrafamiliar",0,"Art. 106 Ley 19.968: mediación obligatoria en esas tres materias. NO procede en VIF, adopción ni protección.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,2
"Los Juzgados de Letras del Trabajo conocen de:","Despidos, cobro de prestaciones, accidentes laborales, prácticas antisindicales, tutela laboral (art. 420 CT)","Solo de despidos","Solo de accidentes del trabajo","Solo de cobro de cotizaciones",0,"Art. 420 CT: competencia amplia en conflictos laborales individuales y colectivos.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,1
"El procedimiento laboral se desarrolla en:","Dos audiencias orales: preparatoria (conciliación + hechos) y de juicio (prueba + sentencia)","Escrito como el juicio ordinario civil","Una sola audiencia","Tres audiencias obligatorias",0,"Arts. 425-459 CT: oralidad, inmediación, concentración. Dos audiencias principales.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"Los Tribunales Tributarios y Aduaneros fueron creados para:","Reemplazar al Director Regional del SII como juez tributario, asegurando independencia (Ley 20.322)","Cobrar impuestos directamente","Fiscalizar a los contribuyentes","Dictar normas tributarias",0,"Ley 20.322: antes el SII era juez y parte. Los TTA son independientes del SII, garantizando imparcialidad.",DERECHO_ORGANICO,COT,TITULO_III,De los Tribunales Tributarios y Aduaneros,2
"El procedimiento monitorio laboral procede en causas de:","Hasta 10 ingresos mínimos mensuales (menor cuantía laboral, art. 496 CT)","Cualquier cuantía","Solo despidos","Más de 100 ingresos mínimos",0,"Art. 496 CT: el juez resuelve con la sola demanda. Si el demandado se opone, se cita a audiencia única.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"Los principios del juicio oral ante el TOP incluyen:","Oralidad, inmediación, concentración, publicidad y contradicción","Solo oralidad y publicidad","Solo escrituración y secreto","Mediación obligatoria",0,"CPP: cinco principios fundamentales del juicio oral. Garantizan un juicio justo y transparente.",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,2
"El administrador de tribunal existe en:","Juzgados de Garantía, TOP, Familia y Trabajo (tribunales de reforma)","Solo en la Corte Suprema","Solo en Juzgados de Letras","En todos los tribunales del país",0,"Innovación de las reformas: separa gestión administrativa de función jurisdiccional. Libera al juez.",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales especiales,2
"El Juez de Garantía puede dictar sentencia en:","Procedimiento abreviado y simplificado, pero NO en juicio oral (eso es del TOP)","Juicio oral siempre","Todos los procedimientos penales","Solo en faltas",0,"Art. 14 COT: el JG sentencia en abreviado (con acuerdo del imputado) y simplificado. El juicio oral = TOP.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,2
"La tutela laboral protege:","Los derechos fundamentales del trabajador en la relación laboral (art. 485 CT)","Solo el derecho a remuneración","Solo el derecho a vacaciones","Solo contra despidos",0,"Art. 485 CT: protege derechos fundamentales (intimidad, honra, no discriminación, libertad sindical). Incluye indicios con inversión de carga.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"Los Juzgados de Cobranza Laboral conocen de:","Ejecución de sentencias laborales y cobro de cotizaciones previsionales impagas","Juicios laborales declarativos","Mediación laboral","Negociación colectiva",0,"Art. 416 CT: tribunales ejecutivos especializados. Solo existen en comunas con alto volumen.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"La principal diferencia entre tribunales ordinarios y de reforma es:","Los de reforma son especializados, orales, con administrador de tribunal y gestión separada","Los ordinarios son más modernos","Los de reforma son más lentos","No hay diferencia relevante",0,"Las reformas introdujeron: especialización, oralidad, inmediación, administrador profesional, separación jurisdicción/administración.",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales especiales,2
"La prisión preventiva en el sistema acusatorio la decreta:","El Juez de Garantía a solicitud del fiscal (art. 140 CPP)","El fiscal directamente","El TOP","La policía",0,"Art. 140 CPP: solo el JG puede decretar prisión preventiva. El fiscal la solicita, el juez la concede o rechaza. Garantía judicial.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,2
