model,id,own_rama,own_hits,target_rama,target_hits,ratio,excerpt,civil_hits,procesal_hits,organico_hits
definicion,cmnnwzitk05hs540zlnnaqr1t,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,6,6.00,"Análisis orgánico previo a la demanda Proceso intelectual que todo abogado debe realizar antes de presentar una demanda: verificar jurisdicción (¿es justiciable?), competencia absoluta (fuero > materi",0,1,6
flashcard,cmnnwxtuf04l2540z19i6yhe6,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,6,0.00,"¿Qué es la integración y cuándo opera? Es el mecanismo para completar el QUÓRUM de un tribunal COLEGIADO (Cortes de Apelaciones, Corte Suprema) cuando faltan ministros para formar sala. Opera cuando: ",0,0,6
flashcard,cmnnww6do03pc540zelskch9r,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,5,5.00,¿Cuáles son las excepciones al principio de territorialidad? Casos donde un tribunal puede actuar fuera de su territorio: 1) EXHORTOS: un tribunal pide a otro de distinto territorio que practique dili,0,1,5
flashcard,cmnnwxl7t04gl540znrhfjkv4,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,5,0.00,[INTEGRADOR] ¿Qué prepara el Tema 5 para los Temas 6-12? Los Temas 1-5 son el MARCO CONCEPTUAL: bases + jurisdicción + competencia + reglas de operación. Los Temas 6-12 son las INSTITUCIONES CONCRETAS,0,0,5
flashcard,cmnnwxxz204nb540zll2ka49s,DERECHO_ORGANICO,0,DERECHO_CIVIL,5,0.00,"¿Cuál es la competencia de los tribunales de familia? Art. 8 Ley 19.968 — competencia AMPLÍSIMA: 1) ALIMENTOS (fijación, aumento, rebaja, cese). 2) CUIDADO PERSONAL de hijos. 3) RELACIÓN DIRECTA Y REG",5,0,0
flashcard,cmnnwtgci029s540zzq01dt42,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,4,0.00,¿Qué ocurre si el tribunal requerido en la inhibitoria se niega a inhibirse? Se produce una CONTIENDA DE COMPETENCIA: dos tribunales reclaman competencia sobre el mismo asunto. La contienda se resuelv,0,0,4
mcq,cmnnwtgwq02a3540z01u8hw34,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,4,0.00,Si el tribunal requerido en la inhibitoria se niega a inhibirse: El juicio se anula Se produce una CONTIENDA DE COMPETENCIA que resuelve el tribunal superior común a ambos (Corte de Apelaciones o Cort,0,0,4
definicion,cmnnwtfhg029b540znhexuoqk,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,4,0.00,Contienda de competencia Conflicto entre dos tribunales que reclaman o rechazan competencia sobre un mismo asunto. Surge cuando el tribunal requerido en la inhibitoria se niega a inhibirse. La resuelv,0,0,4
flashcard,cmnnwwqla0404540zb2dwppnq,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,"¿Cómo se determina la cuantía en asuntos SIN valor determinado? Los asuntos NO SUSCEPTIBLES de apreciación pecuniaria se reputan de MAYOR CUANTÍA → procedimiento ordinario, doble instancia. Incluye: e",3,0,1
flashcard,cmnnwwcyv03sw540zauega4b1,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,3,3.00,"[INTEGRADOR] ¿Cuáles bases tienen EXCEPCIONES importantes? 1) TERRITORIALIDAD: excepciones → exhortos, Corte Suprema (nacional), prórroga de competencia. 2) PASIVIDAD: excepciones → casación de oficio",0,1,3
mcq,cmnnwwr5f040f540zf88n5gja,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,"Los asuntos no susceptibles de apreciación pecuniaria se reputan de: Mínima cuantía MAYOR CUANTÍA: procedimiento ordinario y doble instancia. Incluye estado civil, filiación, validez de testamento. La",3,0,1
trueFalse,cmnnwwrnp040p540z97ssj1pv,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,"Los asuntos de estado civil se reputan de mayor cuantía. Los asuntos no susceptibles de apreciación pecuniaria (estado civil, filiación, validez de testamento) se reputan de MAYOR CUANTÍA. Procedimien",3,0,1
trueFalse,cmnnwwkyz03x3540z31c84rds,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,Los equivalentes jurisdiccionales pueden usarse para resolver cuestiones de estado civil. NO: el estado civil es materia de ORDEN PÚBLICO e indisponible. Solo la jurisdicción estatal puede resolver so,3,0,1
definicion,cmnnwx50m047y540zlqdyt8zu,DERECHO_ORGANICO,1,DERECHO_CIVIL,3,3.00,"Competencia relativa en no contenciosos (art. 134 COT) Domicilio del SOLICITANTE. Regla INVERSA a la contenciosa (demandado). Sin contraparte → se protege al solicitante. Aplica a: muerte presunta, ca",3,0,1
flashcard,cmnnwwsq2041a540z2u3aagdb,DERECHO_ORGANICO,0,DERECHO_CIVIL,3,0.00,"¿Cómo determina la materia si un asunto es civil o de otra naturaleza? La materia se determina por la NATURALEZA DE LA PRETENSIÓN, no por la calidad de las partes: 1) Si la pretensión es CONTRACTUAL c",3,0,0
mcq,cmn174uie00yrp50zl20xx33k,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,La casación en el fondo procede ante: El tribunal arbitral El mismo tribunal que dictó la sentencia Cualquier Corte de Apelaciones La Corte Suprema exclusivamente (art. 767 CPC) Art. 767 CPC: la casac,0,0,3
mcq,cmn3wjsuz01o0310zxexljklx,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,La casación en el fondo solo la conoce: La Corte de Apelaciones El mismo tribunal La CORTE SUPREMA. Solo contra definitivas/interlocutorias inapelables de CA. Por infracción de ley (art. 767) Un tribu,0,0,3
trueFalse,cmnnwth9j02aa540z3cs9udpz,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,"La contienda de competencia se resuelve por el tribunal superior común a los tribunales en conflicto. Si dependen de la misma Corte de Apelaciones, ella resuelve. Si dependen de distintas Cortes, resu",0,0,3
trueFalse,cmnnwwtrz041u540zwr1pi24z,DERECHO_ORGANICO,0,DERECHO_CIVIL,3,0.00,"Los tribunales de familia conocen violencia intrafamiliar. VIF es materia de tribunal de familia (Ley 19.968). También conocen: matrimonio, filiación, adopción, alimentos, cuidado personal, guardas, p",3,0,0
definicion,cmnnwtfdu0299540zh4zmugzk,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,3,0.00,Vía inhibitoria (cuestión de competencia) Mecanismo para cuestionar la competencia presentándose ante el tribunal que se CREE COMPETENTE para que solicite al tribunal que está conociendo que se INHIBA,0,0,3
flashcard,cmn3wjm7q01kh310zzic52dpy,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,2,2.00,¿Cuál es el plazo para interponer recurso de casación en el fondo? Art. 770 CPC: 15 DÍAS hábiles desde la notificación. Se interpone ante la Corte de Apelaciones (tribunal que dictó la sentencia). Con,0,1,2
flashcard,cmnnwtndq02dg540zcdzr6084,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,2,2.00,[GRAN INTEGRADOR] ¿Cuáles son las 3 distinciones que más reprueban en grado? 1) DESISTIMIENTO vs. ABANDONO: desistimiento extingue pretensión (cosa juzgada); abandono extingue solo procedimiento (pued,0,1,2
flashcard,cmnnwxnt904hu540zv5lop2w9,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,2,2.00,[CONEXIÓN] ¿Los juzgados de letras son los tribunales del CPC? SÍ: prácticamente todo el CPC estudiado (Bloques 5-8) se aplica ante juzgados de letras: 1) JUICIO ORDINARIO (Bloque 6): juzgado de letra,0,1,2
flashcard,cmnnwwhix03v8540zqtekow4u,DERECHO_ORGANICO,1,DERECHO_CIVIL,2,2.00,"¿Qué es la jurisdicción no contenciosa (voluntaria)? Es el ejercicio de la jurisdicción cuando NO existe conflicto entre partes. El tribunal interviene porque la ley lo exige, no porque haya litigio. ",2,0,1
flashcard,cmnnwwk8z03wp540zz6xl5q1c,DERECHO_ORGANICO,1,DERECHO_CIVIL,2,2.00,"¿Los equivalentes jurisdiccionales pueden usarse en todo tipo de conflictos? NO: solo en conflictos sobre derechos DISPONIBLES. No proceden para: 1) ESTADO CIVIL (filiación, matrimonio): solo el tribu",2,0,1
